item_id,cefr_true,true_p_mid,band_low,band_high
1,A1,0.9273956048555962,0.85,0.95
2,A2,0.7658317659628078,0.7,0.85
5,C1,0.3787896879867074,0.25,0.4
6,C2,0.20460520435890459,0.1,0.25
8,A1,0.8594177347887649,0.85,0.95
10,A2,0.8463433527455133,0.7,0.85
11,B1,0.664170955298553,0.55,0.7
12,B1,0.667909645791543,0.55,0.7
13,B2,0.4192170449013319,0.4,0.55
14,B2,0.4675578906843351,0.4,0.55
15,C1,0.3056197036348872,0.25,0.4
16,C1,0.3890147483272903,0.25,0.4
17,C2,0.1965797680120997,0.1,0.25
18,C2,0.22341424199062448,0.1,0.25
194998,C2,0.16651212982409969,0.1,0.25
194999,C2,0.13408580826771654,0.1,0.25
195000,B1,0.6331877180523752,0.55,0.7
195001,A2,0.7095725884156262,0.7,0.85
195002,A1,0.9327631171992582,0.85,0.95
195003,C1,0.34474965986830974,0.25,0.4
195004,A2,0.8137131610128061,0.7,0.85
195005,A2,0.7531788952194802,0.7,0.85
195006,B2,0.5456047036592355,0.4,0.55
195007,A1,0.9393121121322198,0.85,0.95
195008,C2,0.21675752456106429,0.1,0.25
195009,A1,0.8694638707851967,0.85,0.95
195010,A2,0.7700081505590551,0.7,0.85
195011,B1,0.5565705648680843,0.55,0.7
195012,A1,0.8654289492067547,0.85,0.95
195013,A2,0.8024573429863682,0.7,0.85
195014,C1,0.3617143233861726,0.25,0.4
195015,C2,0.2451264598651315,0.1,0.25
195016,A2,0.7488738037207228,0.7,0.85
195017,A1,0.8870459706034869,0.85,0.95
195018,A1,0.8969555811275808,0.85,0.95
195019,B1,0.5784207038626429,0.55,0.7
195020,B2,0.41948822580032075,0.4,0.55
195021,C2,0.17135573893389006,0.1,0.25
195022,A2,0.7340364023576326,0.7,0.85
195023,A1,0.916981399468251,0.85,0.95
195024,B1,0.6155727878308497,0.55,0.7
195025,A1,0.9332678196057838,0.85,0.95
195026,A2,0.8050397653003374,0.7,0.85
195027,A2,0.7468549962073061,0.7,0.85
195028,C2,0.22483897020928018,0.1,0.25
195029,B1,0.6707146536245202,0.55,0.7
195030,A1,0.8887478379030174,0.85,0.95
195031,B2,0.44324921558953667,0.4,0.55
195032,A1,0.9182495503974976,0.85,0.95
195033,B1,0.5709628725413965,0.55,0.7
195034,A2,0.7299862303712662,0.7,0.85
195035,C1,0.25110434046265084,0.25,0.4
195036,C2,0.21803865662532076,0.1,0.25
195037,A1,0.9164850856592032,0.85,0.95
195038,A1,0.9205165378626334,0.85,0.95
195039,C1,0.3671093546532952,0.25,0.4
195040,A2,0.768837366330751,0.7,0.85
195041,A1,0.9068741195952893,0.85,0.95
195042,A1,0.8639796998127657,0.85,0.95
