item_id,cefr_true,cefr_hat,error_type,true_p_mid,alpha,beta,k_train,n_train,p_est,p_error,ci95_low,ci95_high,ci95_width,acc_test_mid,brier_test_mid,logloss_test_mid,cefr_conf,cefr_margin,cefr_entropy,d_to_boundary_true,nearest_boundary_true,d_to_boundary_hat,nearest_boundary_hat,acc_weak_test,acc_strong_test,gap_strong_weak_test,flag_entropy,flag_conf,flag_margin,flag_boundary,flag_gap,flag_review,T,n_test
1,A1,A1,exact,0.9273956048555962,84.0,9.0,83,91,0.9032258064516129,-0.024169798403983367,0.835833249111793,0.9542839110785178,0.11845066196672482,0.8974358974358975,0.09207823047573307,0.3308690760029777,0.9438629897892652,0.8877267659189018,0.2162129034875375,0.02260439514440371,0.95,0.04677419354838708,0.95,0.9487179487179487,0.7948717948717948,-0.15384615384615385,0,0,0,0,1,1,130,39
2,A2,A2,exact,0.7658317659628078,76.0,17.0,75,91,0.8172043010752689,0.05137253511246109,0.7329954020139688,0.8885123336324865,0.15551693161851765,0.7692307692307693,0.17981625265704354,0.5474476904584898,0.7844045505773949,0.5730330190146846,0.5420701768241386,0.06583176596280782,0.7,0.03279569892473111,0.85,0.7692307692307693,0.8205128205128205,0.05128205128205121,0,0,0,0,0,0,130,39
5,C1,B2,adjacent,0.3787896879867074,39.0,54.0,38,91,0.41935483870967744,0.04056515072297001,0.3214851689145223,0.5205112804310723,0.19902611151655003,0.3333333333333333,0.2296219216094346,0.6520895800671908,0.6377307846894614,0.28137381669411965,0.6857724755184228,0.021210312013292598,0.4,0.019354838709677413,0.4,0.41025641025641024,0.5128205128205128,0.10256410256410253,1,0,0,0,0,1,130,39
6,C2,C2,exact,0.20460520435890459,15.0,78.0,14,91,0.16129032258064516,-0.04331488177825943,0.0942251622411572,0.24212308005386116,0.14789791781270395,0.3076923076923077,0.23445129272392548,0.683170243567474,0.9826350399567719,0.9652703156023281,0.08760159406448959,0.045394795641095415,0.25,0.06129032258064515,0.1,0.1282051282051282,0.28205128205128205,0.15384615384615385,0,0,0,0,0,0,130,39
8,A1,A1,exact,0.8594177347887649,81.0,12.0,80,91,0.8709677419354839,0.011550007146718944,0.7961282023728359,0.9307473145482565,0.13461911217542066,0.8717948717948718,0.1117692574508391,0.3829634801326684,0.7423177203555477,0.484674131239624,0.5709979823194196,0.009417734788764953,0.85,0.020967741935483897,0.85,0.8974358974358975,0.8717948717948718,-0.02564102564102566,0,0,0,1,1,1,130,39
10,A2,A1,adjacent,0.8463433527455133,79.0,14.0,78,91,0.8494623655913979,0.003119012845884561,0.7704926249090878,0.9142324612986121,0.14373983638952437,0.9230769230769231,0.076425020233553,0.2962586039825238,0.5211496574187435,0.042622290438978805,0.6949333961296842,0.003656647254486667,0.85,0.0005376344086021057,0.85,0.9230769230769231,0.8461538461538461,-0.07692307692307698,1,1,1,1,1,1,130,39
11,B1,B1,exact,0.664170955298553,64.0,29.0,63,91,0.6881720430107527,0.024001087712199776,0.590966927022645,0.7777114356176602,0.18674450859501524,0.6666666666666666,0.22268470343392308,0.63757882758465,0.5836903785213247,0.17047589986350797,0.6975868165416029,0.03582904470144699,0.7,0.011827956989247213,0.7,0.6153846153846154,0.7435897435897436,0.1282051282051282,1,1,0,0,0,1,130,39
12,B1,A2,adjacent,0.667909645791543,71.0,22.0,70,91,0.7634408602150538,0.09553121442351076,0.672489592918863,0.8436677277803281,0.17117813486146505,0.7435897435897436,0.19105810364915457,0.5703394683383509,0.9037265501268187,0.8236450112691387,0.3605006094639728,0.03209035420845696,0.7,0.0634408602150538,0.7,0.7692307692307693,0.7948717948717948,0.02564102564102555,0,0,0,0,1,1,130,39
13,B2,C1,adjacent,0.4192170449013319,36.0,57.0,35,91,0.3870967741935484,-0.032120270707783505,0.29117817087119674,0.48761645903166406,0.19643828816046732,0.38461538461538464,0.23669254782678295,0.6662914289257984,0.6043998797194834,0.2115434986318374,0.6892096167325348,0.01921704490133186,0.4,0.012903225806451646,0.4,0.3076923076923077,0.41025641025641024,0.10256410256410253,1,0,0,0,0,1,130,39
14,B2,B2,exact,0.4675578906843351,47.0,46.0,46,91,0.5053763440860215,0.03781845340168638,0.40442941495765317,0.6061041363914823,0.20167472143382914,0.5641025641025641,0.249339630192908,0.6918263911548994,0.7847949921223625,0.5899292412221171,0.5884267074336877,0.0675578906843351,0.4,0.044623655913978544,0.55,0.3076923076923077,0.6923076923076923,0.3846153846153846,0,0,0,0,0,0,130,39
