item_id,cefr_true,cefr_hat,error_type,true_p_mid,alpha,beta,k_train,n_train,p_est,p_error,ci95_low,ci95_high,ci95_width,acc_test_mid,brier_test_mid,logloss_test_mid,cefr_conf,cefr_margin,cefr_entropy,d_to_boundary_true,nearest_boundary_true,d_to_boundary_hat,nearest_boundary_hat,acc_weak_test,acc_strong_test,gap_strong_weak_test,flag_entropy,flag_conf,flag_margin,flag_boundary,flag_gap,flag_review,T,n_test
6,C2,C2,exact,0.20460520435890459,23.0,97.0,22,118,0.19166666666666668,-0.012938537692237906,0.1266439311659495,0.2664133798966574,0.13976944873070793,0.23076923076923078,0.1790438034188034,0.5449077094881014,0.9408912641468589,0.8817829372188319,0.2245133703069721,0.045394795641095415,0.25,0.05833333333333332,0.25,0.17307692307692307,0.17307692307692307,0.0,0,0,0,0,1,1,170,52
8,A1,A1,exact,0.8594177347887649,103.0,17.0,102,118,0.8583333333333333,-0.0010844014554316495,0.7908552151584625,0.914523197620356,0.12366798246189359,0.8461538461538461,0.13032585470085467,0.42991900750216705,0.6253037529110884,0.2506271598840064,0.6616212324763547,0.009417734788764953,0.85,0.008333333333333304,0.85,0.8653846153846154,0.8269230769230769,-0.03846153846153855,1,0,0,1,1,1,170,52
10,A2,A1,adjacent,0.8463433527455133,104.0,16.0,103,118,0.8666666666666667,0.020323313921153385,0.8006330017493218,0.921152709689422,0.12051970794010014,0.7692307692307693,0.18700854700854694,0.5750551921564254,0.7201923381314832,0.44039148155468794,0.5928506754845485,0.003656647254486667,0.85,0.01666666666666672,0.85,0.7692307692307693,0.8653846153846154,0.09615384615384615,0,0,0,1,0,1,170,52
12,B1,A2,adjacent,0.667909645791543,89.0,31.0,88,118,0.7416666666666667,0.0737570208751237,0.6600685338407752,0.8156374299388192,0.15556889609804392,0.7307692307692307,0.19686431623931622,0.582799379077943,0.8499960807626676,0.7012167366630699,0.4298638038370713,0.03209035420845696,0.7,0.04166666666666674,0.7,0.7307692307692307,0.75,0.019230769230769273,0,0,0,0,1,1,170,52
13,B2,C1,adjacent,0.4192170449013319,46.0,74.0,45,118,0.38333333333333336,-0.03588371156799852,0.2987145022706599,0.47163659821041504,0.17292209593975516,0.4423076923076923,0.2501495726495727,0.693710207740313,0.6500766960125152,0.30097022915546984,0.6535082295806957,0.01921704490133186,0.4,0.016666666666666663,0.4,0.3076923076923077,0.46153846153846156,0.15384615384615385,1,0,0,0,0,1,170,52
16,C1,C1,exact,0.3890147483272903,45.0,75.0,44,118,0.375,-0.014014748327290327,0.290884049931094,0.4630634691572551,0.1721794192261611,0.46153846153846156,0.25600961538461536,0.7057693017531161,0.7162247875180673,0.4338495662460881,0.605557234481311,0.010985251672709695,0.4,0.025000000000000022,0.4,0.34615384615384615,0.5769230769230769,0.23076923076923073,1,0,0,0,0,1,170,52
17,C2,C2,exact,0.1965797680120997,17.0,103.0,16,118,0.14166666666666666,-0.054913101345433035,0.08547680237964397,0.20914478484153753,0.12366798246189356,0.23076923076923078,0.1854540598290599,0.5684971339770454,0.9983520348506598,0.9967040699315166,0.012207123790904108,0.0534202319879003,0.25,0.04166666666666666,0.1,0.19230769230769232,0.17307692307692307,-0.019230769230769246,0,0,0,0,1,1,170,52
18,C2,C2,exact,0.22341424199062448,27.0,93.0,26,118,0.225,0.0015857580093755208,0.15515954100438706,0.30351709618456413,0.14835755518017707,0.15384615384615385,0.13524038461538462,0.4451634230363171,0.751238256194727,0.5024975200982353,0.5611887336883644,0.026585758009375515,0.25,0.024999999999999994,0.25,0.21153846153846154,0.21153846153846154,0.0,0,0,0,0,1,1,170,52
194998,C2,C2,exact,0.16651212982409969,21.0,99.0,20,118,0.175,0.008487870175900303,0.11268395884382672,0.2475626065270102,0.13487864768318347,0.17307692307692307,0.14312499999999997,0.46074452171861974,0.9781103313610415,0.9562207045940669,0.10530554891771832,0.06651212982409968,0.1,0.07499999999999998,0.1,0.11538461538461539,0.11538461538461539,0.0,0,0,0,0,1,1,170,52
194999,C2,C2,exact,0.13408580826771654,19.0,101.0,18,118,0.15833333333333333,0.024247525065616782,0.09895178528580292,0.22848299790348892,0.129531212617686,0.1346153846153846,0.11705662393162392,0.39727066370470443,0.9933638804691377,0.9867277643909169,0.03989575689600893,0.03408580826771654,0.1,0.05833333333333332,0.1,0.09615384615384616,0.07692307692307693,-0.019230769230769232,0,0,0,0,1,1,170,52
