item_id,cefr_true,true_p_mid,band_low,band_high
1,A1,0.8516666666666667,0.85,0.95
2,A1,0.855,0.85,0.95
3,A1,0.8583333333333333,0.85,0.95
4,A1,0.8616666666666667,0.85,0.95
5,A1,0.865,0.85,0.95
6,A1,0.8683333333333333,0.85,0.95
7,A1,0.8716666666666666,0.85,0.95
8,A1,0.875,0.85,0.95
9,A1,0.8783333333333333,0.85,0.95
10,A1,0.8816666666666666,0.85,0.95
11,A1,0.885,0.85,0.95
12,A1,0.8883333333333333,0.85,0.95
13,A1,0.8916666666666666,0.85,0.95
14,A1,0.895,0.85,0.95
15,A1,0.8983333333333333,0.85,0.95
16,A1,0.9016666666666666,0.85,0.95
17,A1,0.905,0.85,0.95
18,A1,0.9083333333333332,0.85,0.95
19,A1,0.9116666666666666,0.85,0.95
20,A1,0.915,0.85,0.95
21,A1,0.9183333333333332,0.85,0.95
22,A1,0.9216666666666666,0.85,0.95
23,A1,0.925,0.85,0.95
24,A1,0.9283333333333332,0.85,0.95
25,A1,0.9316666666666666,0.85,0.95
26,A1,0.935,0.85,0.95
27,A1,0.9383333333333332,0.85,0.95
28,A1,0.9416666666666668,0.85,0.95
29,A1,0.945,0.85,0.95
30,A1,0.9483333333333333,0.85,0.95
31,A2,0.7024999999999999,0.7,0.85
32,A2,0.7074999999999999,0.7,0.85
33,A2,0.7124999999999999,0.7,0.85
34,A2,0.7174999999999999,0.7,0.85
35,A2,0.7224999999999999,0.7,0.85
36,A2,0.7274999999999999,0.7,0.85
37,A2,0.7324999999999999,0.7,0.85
38,A2,0.7374999999999999,0.7,0.85
39,A2,0.7424999999999999,0.7,0.85
40,A2,0.7474999999999999,0.7,0.85
41,A2,0.7525,0.7,0.85
42,A2,0.7575,0.7,0.85
43,A2,0.7625,0.7,0.85
44,A2,0.7675,0.7,0.85
45,A2,0.7725,0.7,0.85
46,A2,0.7775,0.7,0.85
47,A2,0.7825,0.7,0.85
48,A2,0.7875,0.7,0.85
49,A2,0.7925,0.7,0.85
50,A2,0.7975,0.7,0.85
51,A2,0.8025,0.7,0.85
52,A2,0.8075,0.7,0.85
53,A2,0.8125,0.7,0.85
54,A2,0.8175,0.7,0.85
55,A2,0.8225,0.7,0.85
56,A2,0.8274999999999999,0.7,0.85
57,A2,0.8325,0.7,0.85
58,A2,0.8374999999999999,0.7,0.85
59,A2,0.8425,0.7,0.85
60,A2,0.8474999999999999,0.7,0.85
61,B1,0.5525,0.55,0.7
62,B1,0.5575,0.55,0.7
63,B1,0.5625,0.55,0.7
64,B1,0.5675,0.55,0.7
65,B1,0.5725,0.55,0.7
66,B1,0.5775,0.55,0.7
67,B1,0.5825,0.55,0.7
68,B1,0.5875,0.55,0.7
69,B1,0.5925,0.55,0.7
70,B1,0.5975,0.55,0.7
71,B1,0.6025,0.55,0.7
72,B1,0.6075,0.55,0.7
73,B1,0.6125,0.55,0.7
74,B1,0.6175,0.55,0.7
75,B1,0.6225,0.55,0.7
76,B1,0.6275,0.55,0.7
77,B1,0.6325000000000001,0.55,0.7
78,B1,0.6375,0.55,0.7
79,B1,0.6425,0.55,0.7
80,B1,0.6475,0.55,0.7
81,B1,0.6525,0.55,0.7
82,B1,0.6575,0.55,0.7
83,B1,0.6625,0.55,0.7
84,B1,0.6675,0.55,0.7
85,B1,0.6725,0.55,0.7
86,B1,0.6775,0.55,0.7
87,B1,0.6825,0.55,0.7
88,B1,0.6875,0.55,0.7
89,B1,0.6924999999999999,0.55,0.7
90,B1,0.6975,0.55,0.7
91,B2,0.4025,0.4,0.55
92,B2,0.4075,0.4,0.55
93,B2,0.4125,0.4,0.55
94,B2,0.4175,0.4,0.55
95,B2,0.4225,0.4,0.55
96,B2,0.4275,0.4,0.55
97,B2,0.4325,0.4,0.55
98,B2,0.4375,0.4,0.55
99,B2,0.4425,0.4,0.55
100,B2,0.4475,0.4,0.55
101,B2,0.4525,0.4,0.55
102,B2,0.4575,0.4,0.55
103,B2,0.4625,0.4,0.55
104,B2,0.4675,0.4,0.55
105,B2,0.4725,0.4,0.55
106,B2,0.4775,0.4,0.55
107,B2,0.4825,0.4,0.55
108,B2,0.4875,0.4,0.55
109,B2,0.4925,0.4,0.55
110,B2,0.4975,0.4,0.55
111,B2,0.5025000000000001,0.4,0.55
112,B2,0.5075000000000001,0.4,0.55
113,B2,0.5125000000000001,0.4,0.55
114,B2,0.5175000000000001,0.4,0.55
115,B2,0.5225000000000001,0.4,0.55
116,B2,0.5275000000000001,0.4,0.55
117,B2,0.5325,0.4,0.55
118,B2,0.5375000000000001,0.4,0.55
119,B2,0.5425,0.4,0.55
120,B2,0.5475000000000001,0.4,0.55
121,C1,0.2525,0.25,0.4
122,C1,0.2575,0.25,0.4
123,C1,0.2625,0.25,0.4
124,C1,0.2675,0.25,0.4
125,C1,0.2725,0.25,0.4
126,C1,0.2775,0.25,0.4
127,C1,0.2825,0.25,0.4
128,C1,0.2875,0.25,0.4
129,C1,0.2925,0.25,0.4
130,C1,0.2975,0.25,0.4
131,C1,0.3025,0.25,0.4
132,C1,0.3075,0.25,0.4
133,C1,0.3125,0.25,0.4
134,C1,0.3175,0.25,0.4
135,C1,0.3225,0.25,0.4
136,C1,0.3275,0.25,0.4
137,C1,0.3325,0.25,0.4
138,C1,0.3375,0.25,0.4
139,C1,0.3425,0.25,0.4
140,C1,0.3475,0.25,0.4
141,C1,0.3525,0.25,0.4
142,C1,0.3575,0.25,0.4
143,C1,0.3625,0.25,0.4
144,C1,0.3675,0.25,0.4
145,C1,0.3725,0.25,0.4
146,C1,0.3775,0.25,0.4
147,C1,0.3825,0.25,0.4
148,C1,0.3875,0.25,0.4
149,C1,0.3925,0.25,0.4
150,C1,0.3975,0.25,0.4
151,C2,0.1025,0.1,0.25
152,C2,0.1075,0.1,0.25
153,C2,0.1125,0.1,0.25
154,C2,0.1175,0.1,0.25
155,C2,0.1225,0.1,0.25
156,C2,0.1275,0.1,0.25
157,C2,0.1325,0.1,0.25
158,C2,0.1375,0.1,0.25
159,C2,0.1425,0.1,0.25
160,C2,0.1475,0.1,0.25
161,C2,0.1525,0.1,0.25
162,C2,0.1575,0.1,0.25
163,C2,0.1625,0.1,0.25
164,C2,0.1675,0.1,0.25
165,C2,0.1725,0.1,0.25
166,C2,0.1775,0.1,0.25
167,C2,0.1825,0.1,0.25
168,C2,0.1875,0.1,0.25
169,C2,0.1925,0.1,0.25
170,C2,0.1975,0.1,0.25
171,C2,0.2025,0.1,0.25
172,C2,0.2075,0.1,0.25
173,C2,0.2125,0.1,0.25
174,C2,0.2175,0.1,0.25
175,C2,0.2225,0.1,0.25
176,C2,0.2275,0.1,0.25
177,C2,0.2324999999999999,0.1,0.25
178,C2,0.2375,0.1,0.25
179,C2,0.2425,0.1,0.25
180,C2,0.2475,0.1,0.25
