item_id,cefr_true,cefr_hat,error_type,true_p_mid,alpha,beta,k_train,n_train,p_est,p_error,ci95_low,ci95_high,ci95_width,acc_test_mid,brier_test_mid,logloss_test_mid,cefr_conf,cefr_margin,cefr_entropy,d_to_boundary_true,nearest_boundary_true,d_to_boundary_hat,nearest_boundary_hat,acc_weak_test,acc_strong_test,gap_strong_weak_test,flag_entropy,flag_conf,flag_margin,flag_boundary,flag_gap,flag_review,T,n_test
1,A1,A1,exact,0.9273956048555962,108.0,12.0,107,118,0.9,-0.027395604855596223,0.8406229493220503,0.9467994455733677,0.10617649625131742,0.9230769230769231,0.07153846153846152,0.27437779083753555,0.9539644848540271,0.9079290156126173,0.18667298084366293,0.02260439514440371,0.95,0.04999999999999993,0.95,0.8653846153846154,0.9423076923076923,0.07692307692307687,0,0,0,0,0,0,170,52
2,A1,A1,exact,0.8938878439752052,108.0,12.0,107,118,0.9,0.006112156024794868,0.8406229493220503,0.9467994455733677,0.10617649625131742,0.8269230769230769,0.14846153846153845,0.4856493848121719,0.9539644848540271,0.9079290156126173,0.18667298084366293,0.043887843975205176,0.85,0.04999999999999993,0.95,0.9230769230769231,0.9423076923076923,0.019230769230769162,0,0,0,0,1,1,170,52
3,A1,A1,exact,0.9358597919911382,114.0,6.0,113,118,0.95,0.014140208008861732,0.9046690702623528,0.9812744919450944,0.07660542168274165,0.9807692307692307,0.019807692307692307,0.1079171209099821,0.9996390230137617,0.9992780460299264,0.0032222669195932307,0.014140208008861732,0.95,0.0,0.95,0.9230769230769231,0.9807692307692307,0.0576923076923076,0,0,0,0,0,0,170,52
4,A1,A1,exact,0.9197368029059363,111.0,9.0,110,118,0.925,0.005263197094063754,0.8718304503892995,0.9648345978023997,0.09300414741310015,0.9038461538461539,0.08735576923076924,0.31952938992895363,0.9945047031906669,0.9890094068394352,0.03407694791389601,0.030263197094063665,0.95,0.02499999999999991,0.95,0.8269230769230769,0.9423076923076923,0.11538461538461542,0,0,0,0,0,0,170,52
5,A1,A1,exact,0.8594177347887649,103.0,17.0,102,118,0.8583333333333333,-0.0010844014554316495,0.7908552151584625,0.914523197620356,0.12366798246189359,0.8461538461538461,0.13032585470085467,0.42991900750216705,0.6253037529110884,0.2506271598840064,0.6616212324763547,0.009417734788764953,0.85,0.008333333333333304,0.85,0.8653846153846154,0.8269230769230769,-0.03846153846153855,1,0,0,1,1,1,170,52
6,A1,A1,exact,0.9475622351636755,116.0,4.0,115,118,0.9666666666666667,0.019104431502991126,0.9280920195389576,0.9907669275533527,0.06267490801439513,0.9230769230769231,0.07290598290598291,0.292924307828487,0.9999532306047997,0.999906461209656,0.0005130724520113385,0.0024377648363244075,0.95,0.01666666666666672,0.95,0.9423076923076923,0.9807692307692307,0.038461538461538436,0,0,0,1,1,1,170,52
7,A1,A1,exact,0.9261139701990353,112.0,8.0,111,118,0.9333333333333333,0.007219363134298051,0.8825536951475721,0.9705314649735678,0.0879777698259957,0.9615384615384616,0.037777777777777785,0.17049507647215378,0.9976525804686917,0.9953051610220063,0.016556971286076295,0.02388602980096466,0.95,0.016666666666666607,0.95,0.9038461538461539,0.9423076923076923,0.038461538461538436,0,0,0,0,1,1,170,52
8,A1,A1,exact,0.9286064305276953,114.0,6.0,113,118,0.95,0.02139356947230464,0.9046690702623528,0.9812744919450944,0.07660542168274165,0.9423076923076923,0.05442307692307692,0.22116477395484516,0.9996390230137617,0.9992780460299264,0.0032222669195932307,0.02139356947230464,0.95,0.0,0.95,0.9230769230769231,1.0,0.07692307692307687,0,0,0,0,0,0,170,52
9,A1,A1,exact,0.8628113632675546,102.0,18.0,101,118,0.85,-0.01281136326755461,0.7811516057939496,0.9078200020328673,0.12666839623891768,0.9807692307692307,0.035961538461538455,0.19587664210139238,0.5238177795175364,0.04768857686932271,0.6925478103035663,0.01281136326755461,0.85,0.0,0.85,0.8269230769230769,0.9230769230769231,0.09615384615384626,1,1,1,0,0,1,170,52
10,A1,A1,exact,0.8950385937895566,107.0,13.0,106,118,0.8916666666666667,-0.0033719271228899172,0.830476804609474,0.9405349402809752,0.11005813567150113,0.9038461538461539,0.08705662393162394,0.3173436272624829,0.9196510330705777,0.8393022468327112,0.2796233746022223,0.04503859378955666,0.85,0.04166666666666674,0.85,0.8653846153846154,0.9423076923076923,0.07692307692307687,0,0,0,0,0,0,170,52
11,A1,A1,exact,0.8870798024232581,107.0,13.0,106,118,0.8916666666666667,0.004586864243408595,0.830476804609474,0.9405349402809752,0.11005813567150113,0.9038461538461539,0.08705662393162393,0.3173436272624829,0.9196510330705777,0.8393022468327112,0.2796233746022223,0.037079802423258146,0.85,0.04166666666666674,0.85,0.8846153846153846,0.9423076923076923,0.05769230769230771,0,0,0,0,0,0,170,52
