T,n_items,n_train_trials,n_test_trials,MAE_p,RMSE_p,Corr_p,CEFR_ExactAcc,CEFR_Within1Acc,Test_Brier,Test_LogLoss,MeanConf,MeanEntropy,MeanCI95Width,HighEntropyCount(>H_th),LowGapCount(<gap_th),ReviewCount,H_th,gap_th,gap_rho,gap_max
10,180,7,3,0.10996580644800334,0.13852792055018076,0.8426912486966063,0.45555555555555555,0.8555555555555555,0.20919067215363513,0.6081612526387048,0.4352655135512116,1.2553742609692404,0.521785246520584,180,115,180,0.6,0.050155992760624435,0.67,0.07485969068749915
20,180,14,6,0.07805409346709966,0.09725054515588996,0.9260257928013337,0.5777777777777777,0.95,0.20321180555555557,0.593880500672123,0.5313041626310253,1.0346517211756088,0.4003123749993656,159,102,174,0.6,0.050155992760624435,0.67,0.07485969068749915
30,180,21,9,0.06995534577208863,0.08962672856248874,0.938106432980137,0.5777777777777777,0.9722222222222222,0.18660062078461573,0.5537558123091856,0.5923972924399459,0.901932697037012,0.3382358559844802,146,94,170,0.6,0.050155992760624435,0.67,0.07485969068749915
40,180,28,12,0.06159720121735709,0.07842562612953033,0.9524306299447007,0.6111111111111112,0.9777777777777777,0.1798395061728395,0.5382784718404547,0.6278000128263733,0.8133520973211472,0.2968272221007372,146,86,166,0.6,0.050155992760624435,0.67,0.07485969068749915
50,180,35,15,0.057154746732936086,0.07182956661606597,0.9608791830033682,0.6833333333333333,0.9944444444444445,0.18670454238021802,0.5545589616322925,0.6611853717285819,0.7343299935502908,0.2666680533308189,142,80,166,0.6,0.050155992760624435,0.67,0.07485969068749915
60,180,42,18,0.05421846483686353,0.0687565965964277,0.9640192318529085,0.6777777777777778,1.0,0.184366391184573,0.5475933224559526,0.6831209121476471,0.6840287993229222,0.24505091518345143,137,83,163,0.6,0.050155992760624435,0.67,0.07485969068749915
70,180,49,21,0.048739676350178986,0.06252342808072466,0.9701149448631783,0.7388888888888889,1.0,0.18436193649573118,0.5476706134535756,0.7073276881225744,0.6423529794841937,0.2281161177511255,135,95,165,0.6,0.050155992760624435,0.67,0.07485969068749915
80,180,56,24,0.043390833605648556,0.05489494087369579,0.9769923161825901,0.7444444444444445,1.0,0.18637699828246795,0.5527691600929836,0.7224135349417957,0.6056186178678628,0.21400115321977245,121,98,165,0.6,0.050155992760624435,0.67,0.07485969068749915
90,180,62,28,0.04026600162320597,0.051441019065450774,0.9801031168221058,0.7555555555555555,1.0,0.1861242869543651,0.5515749027158863,0.7459644272772276,0.5695035164852734,0.20328355679395288,112,104,162,0.6,0.050155992760624435,0.67,0.07485969068749915
100,180,70,30,0.03819619026208572,0.048701786352957514,0.9819602143094275,0.7555555555555555,1.0,0.18496613511659807,0.5481854466784792,0.7627767981484793,0.537024333133338,0.19210511503830147,108,104,163,0.6,0.050155992760624435,0.67,0.07485969068749915
110,180,77,33,0.03623553797296325,0.04642887878081212,0.9834261953034403,0.7611111111111111,1.0,0.18360807239192115,0.5452120390375093,0.7667125479947852,0.5162953537035572,0.1835701554469924,89,106,152,0.6,0.050155992760624435,0.67,0.07485969068749915
120,180,84,36,0.03602678543936469,0.04506329833250306,0.9844127214292383,0.7444444444444445,1.0,0.18368504163077806,0.5460581950937817,0.7810806479743457,0.4919992482587157,0.1759689087456863,64,103,139,0.6,0.050155992760624435,0.67,0.07485969068749915
130,180,91,39,0.0352948088589362,0.04411836982247196,0.9851601609620739,0.7611111111111111,1.0,0.1842145181548581,0.5469275029243494,0.7917037889999863,0.46787522157039596,0.16923161095547487,62,92,133,0.6,0.050155992760624435,0.67,0.07485969068749915
140,180,98,42,0.03453971055693907,0.043424496206061265,0.9855515628277666,0.7611111111111111,1.0,0.1832189417989418,0.5448851013434116,0.802573105644885,0.44932867869557497,0.1633288835376782,57,112,140,0.6,0.050155992760624435,0.67,0.07485969068749915
150,180,105,45,0.03226442885927945,0.04159945850831066,0.9868227669945712,0.8055555555555556,1.0,0.18403155593943726,0.5467864862874382,0.8108623499313643,0.4315146600630721,0.15769277347113536,52,107,134,0.6,0.050155992760624435,0.67,0.07485969068749915
160,180,112,48,0.031496186441526824,0.04007628905724743,0.9877693863242724,0.8222222222222222,1.0,0.185502269929209,0.5507580460375893,0.8229126454532771,0.41179915485102847,0.15294363396067773,43,99,122,0.6,0.050155992760624435,0.67,0.07485969068749915
170,180,118,52,0.03043745219157462,0.03896414775506226,0.9884548744466836,0.8388888888888889,1.0,0.1856600189933523,0.5510398016911008,0.830175578990931,0.39841822121704823,0.1491408051789682,42,96,122,0.6,0.050155992760624435,0.67,0.07485969068749915
180,180,125,55,0.030440253087747424,0.03834257736998249,0.9888000221662079,0.8277777777777777,1.0,0.18719098731126754,0.5545646524371748,0.8343995335164067,0.38764983496110816,0.1450718263334021,39,98,123,0.6,0.050155992760624435,0.67,0.07485969068749915
190,180,133,57,0.02932234884932151,0.03673670661861177,0.989651941536525,0.85,1.0,0.1852086572168877,0.5496640987932045,0.8340910388948087,0.382181765958586,0.14074941214799136,43,91,118,0.6,0.050155992760624435,0.67,0.07485969068749915
200,180,140,60,0.028881428943741207,0.03624492071857966,0.9899382363994164,0.85,1.0,0.18478999977958518,0.5485869330589073,0.8398296812111318,0.3723214575375613,0.13719574331461976,37,104,125,0.6,0.050155992760624435,0.67,0.07485969068749915
