item_id,d_to_boundary_hat,ci95_width,p_est,true_p_mid,cefr_true,pearson_r
1,0.028169014084507005,0.08697319030761719,0.9225352112676056,0.8999999999999999,A1,0.26354198030030623
2,0.04225352112676051,0.14356422424316406,0.7394366197183099,0.7749999999999999,A2,0.26354198030030623
5,0.032863849765258246,0.1531200408935547,0.323943661971831,0.325,C1,0.26354198030030623
6,0.042253521126760576,0.12034130096435547,0.1619718309859155,0.175,C2,0.26354198030030623
8,0.00938967136150215,0.10590171813964844,0.8802816901408451,0.8999999999999999,A1,0.26354198030030623
10,0.007042253521126751,0.13344669342041016,0.7887323943661971,0.7749999999999999,A2,0.26354198030030623
11,0.021126760563380365,0.15699386596679688,0.6408450704225352,0.625,B1,0.26354198030030623
12,0.0,0.15886974334716797,0.6197183098591549,0.625,B1,0.26354198030030623
13,0.06103286384976525,0.1635885238647461,0.5140845070422535,0.47500000000000003,B2,0.26354198030030623
14,0.07746478873239426,0.16306495666503906,0.5422535211267606,0.47500000000000003,B2,0.26354198030030623
15,0.05164319248826288,0.16042518615722656,0.4014084507042254,0.325,C1,0.26354198030030623
16,0.04694835680751175,0.15478515625,0.3380281690140845,0.325,C1,0.26354198030030623
17,0.05633802816901408,0.12444210052490234,0.176056338028169,0.175,C2,0.26354198030030623
18,0.04929577464788733,0.12243080139160156,0.16901408450704225,0.175,C2,0.26354198030030623
194998,0.06338028169014086,0.12637901306152344,0.18309859154929578,0.175,C2,0.26354198030030623
194999,0.042253521126760576,0.12034130096435547,0.1619718309859155,0.175,C2,0.26354198030030623
195000,0.014084507042253502,0.1599407196044922,0.6056338028169014,0.625,B1,0.26354198030030623
195001,0.0,0.1350574493408203,0.7816901408450704,0.7749999999999999,A2,0.26354198030030623
195002,0.025821596244131606,0.09055042266845703,0.9154929577464789,0.8999999999999999,A1,0.26354198030030623
195003,0.06572769953051644,0.1594228744506836,0.3873239436619718,0.325,C1,0.26354198030030623
195004,0.021126760563380365,0.13004302978515625,0.8028169014084507,0.7749999999999999,A2,0.26354198030030623
195005,0.028169014084507116,0.12824440002441406,0.8098591549295775,0.7749999999999999,A2,0.26354198030030623
195006,0.02582159624413144,0.16350746154785156,0.4788732394366197,0.47500000000000003,B2,0.26354198030030623
195007,0.018779342723004855,0.09393548965454102,0.9084507042253521,0.8999999999999999,A1,0.26354198030030623
195008,0.05633802816901408,0.12444210052490234,0.176056338028169,0.175,C2,0.26354198030030623
195009,0.014084507042253502,0.07913446426391602,0.9366197183098591,0.8999999999999999,A1,0.26354198030030623
195010,0.028169014084507005,0.14093780517578125,0.7535211267605634,0.7749999999999999,A2,0.26354198030030623
195011,0.028169014084507005,0.1608734130859375,0.5915492957746479,0.625,B1,0.26354198030030623
195012,0.011737089201878104,0.09714794158935547,0.9014084507042254,0.8999999999999999,A1,0.26354198030030623
195013,0.028169014084507116,0.12824440002441406,0.8098591549295775,0.7749999999999999,A2,0.26354198030030623
195014,0.01877934272300469,0.15129661560058594,0.30985915492957744,0.325,C1,0.26354198030030623
195015,0.042253521126760576,0.12034130096435547,0.1619718309859155,0.175,C2,0.26354198030030623
195016,0.0,0.1350574493408203,0.7816901408450704,0.7749999999999999,A2,0.26354198030030623
195017,0.04460093896713602,0.11817026138305664,0.8450704225352113,0.8999999999999999,A1,0.26354198030030623
195018,0.023474178403755763,0.11111593246459961,0.8661971830985915,0.8999999999999999,A1,0.26354198030030623
195019,0.007042253521126751,0.1594228744506836,0.6126760563380281,0.625,B1,0.26354198030030623
195020,0.01877934272300469,0.1633930206298828,0.47183098591549294,0.47500000000000003,B2,0.26354198030030623
195021,0.04929577464788733,0.12243080139160156,0.16901408450704225,0.175,C2,0.26354198030030623
195022,0.014084507042253613,0.1317758560180664,0.795774647887324,0.7749999999999999,A2,0.26354198030030623
195023,0.011737089201878104,0.09714794158935547,0.9014084507042254,0.8999999999999999,A1,0.26354198030030623
195024,0.04225352112676062,0.15478515625,0.6619718309859155,0.625,B1,0.26354198030030623
195025,0.021126760563380254,0.08317804336547852,0.9295774647887324,0.8999999999999999,A1,0.26354198030030623
195026,0.07746478873239437,0.1493062973022461,0.704225352112676,0.7749999999999999,A2,0.26354198030030623
195027,0.028169014084507005,0.14093780517578125,0.7535211267605634,0.7749999999999999,A2,0.26354198030030623
195028,0.0,0.10590171813964844,0.11971830985915492,0.175,C2,0.26354198030030623
195029,0.06338028169014076,0.16260623931884766,0.5563380281690141,0.625,B1,0.26354198030030623
195030,0.00938967136150215,0.10590171813964844,0.8802816901408451,0.8999999999999999,A1,0.26354198030030623
195031,0.004694835680751186,0.16306495666503906,0.45774647887323944,0.47500000000000003,B2,0.26354198030030623
195032,0.0046948356807513525,0.1002035140991211,0.8943661971830986,0.8999999999999999,A1,0.26354198030030623
195033,0.04929577464788726,0.16201400756835938,0.5704225352112676,0.625,B1,0.26354198030030623
195034,0.021126760563380254,0.13954830169677734,0.7605633802816901,0.7749999999999999,A2,0.26354198030030623
195035,0.032863849765258246,0.1531200408935547,0.323943661971831,0.325,C1,0.26354198030030623
