T,n_items,train_frac,MAE_p,RMSE_p,MeanVarP,MeanCI95Width,MeanBoundaryDist,"Pearson_r(dist, CI95Width)",QA_low_gap_count,gap_th,learned_edges_q
10,155,0.7,0.10974910394265232,0.14664270196306486,0.018606133014735165,0.5083291745954944,0.01792114695340501,0.23251071969785125,76,0.05,"0.111111,0.333333,0.444444,0.666667,0.777778,0.814815,0.888889"
20,155,0.7,0.08258064516129031,0.1042736010261837,0.010534274193548387,0.38572841536614205,0.03387096774193549,0.25634988453564495,58,0.05,"0.062500,0.312500,0.437500,0.625000,0.750000,0.875000,0.937500"
30,155,0.7,0.06330995792426368,0.08107784712076056,0.007566518283635181,0.3300608358075542,0.035904628330995794,0.23499382041130945,41,0.05,"0.130435,0.304348,0.434783,0.652174,0.739130,0.869565,0.956522"
40,155,0.7,0.05559139784946235,0.07095735505611198,0.005843912591050989,0.29134318444036666,0.03591397849462367,0.20435244827395335,33,0.05,"0.133333,0.300000,0.433333,0.633333,0.766667,0.844444,0.966667"
50,155,0.7,0.053783783783783776,0.06802820315166291,0.004726784325738118,0.26256347471667874,0.03504795117698343,0.3793007242582493,20,0.05,"0.108108,0.297297,0.441441,0.621622,0.756757,0.864865,0.945946"
60,155,0.7,0.04739002932551318,0.06126009511527378,0.003958425901241151,0.24051589658183437,0.0346041055718475,0.38492235189329727,14,0.05,"0.113636,0.295455,0.454545,0.636364,0.772727,0.886364,0.954545"
70,155,0.7,0.04454775458570525,0.059072501782284216,0.003429392970636413,0.22409146524244739,0.032679738562091505,0.3831152468962165,30,0.05,"0.137255,0.307190,0.437908,0.647059,0.764706,0.882353,0.941176"
80,155,0.7,0.04048943270300334,0.052690909459821605,0.0029853288510059556,0.20903149881670552,0.0342232109751576,0.27543464560573333,29,0.05,"0.120690,0.310345,0.454023,0.637931,0.775862,0.885057,0.948276"
90,155,0.7,0.03883374689826303,0.05045838745230646,0.0026716178775732123,0.19800278140652564,0.03460711331679073,0.3931637710425276,22,0.05,"0.123077,0.302564,0.451282,0.630769,0.779487,0.876923,0.938462"
100,155,0.7,0.037132616487455194,0.04804211281514925,0.002411649018292117,0.18811943607945597,0.034080047789725204,0.41721528053012213,16,0.05,"0.125000,0.305556,0.449074,0.625000,0.763889,0.888889,0.944444"
110,155,0.7,0.038583095140873824,0.04826254098780505,0.0021922665412387387,0.17933789530108052,0.03364638628011432,0.3804434952591079,9,0.05,"0.126582,0.291139,0.455696,0.620253,0.772152,0.873418,0.949367"
120,155,0.7,0.03765941485371343,0.0468052901261807,0.0020017935518362347,0.171330996482603,0.03685921480370092,0.4324705062065981,12,0.05,"0.116279,0.290698,0.457364,0.616279,0.779070,0.883721,0.953488"
130,155,0.7,0.035927852930974676,0.04580014702273015,0.0018452270280432006,0.16460466077250818,0.03586541796739506,0.43264360275149777,8,0.05,"0.118280,0.286738,0.451613,0.612903,0.781362,0.892473,0.956989"
140,155,0.7,0.03361290322580647,0.04341472917890216,0.0017191057170233156,0.15896050545477097,0.03513978494623657,0.3503711186102924,9,0.05,"0.120000,0.293333,0.463333,0.620000,0.780000,0.880000,0.960000"
150,155,0.7,0.031145613506180284,0.040053861597805655,0.001610560489910426,0.15403983823714718,0.0324590493417747,0.4501290813166729,11,0.05,"0.130841,0.286604,0.451713,0.626168,0.775701,0.881620,0.943925"
160,155,0.7,0.02985285795132994,0.038336541652035115,0.0015079491499596165,0.14903954844320974,0.03295604602905112,0.39327278069326316,9,0.05,"0.122807,0.286550,0.450292,0.631579,0.777778,0.885965,0.947368"
170,155,0.7,0.028619034924020265,0.03677533927884595,0.001419389368633703,0.14464362667452904,0.032524660090642504,0.3353050434684798,6,0.05,"0.123967,0.289256,0.451791,0.628099,0.776860,0.887052,0.950413"
180,155,0.7,0.027631048387096777,0.036052148819117655,0.0013414028555967115,0.14064351512539772,0.03225806451612903,0.3021829178628684,5,0.05,"0.117188,0.289062,0.455729,0.625000,0.781250,0.890625,0.953125"
190,155,0.7,0.026535244922341703,0.03460264155781873,0.001272981886236507,0.13704515887844948,0.03181202708084429,0.28666461471085614,5,0.05,"0.118519,0.288889,0.456790,0.622222,0.782716,0.888889,0.955556"
200,155,0.7,0.025497501135847346,0.03318444210398334,0.001211831535436043,0.1337487466873661,0.03010752688172044,0.26354198030030623,3,0.05,"0.119718,0.291080,0.453052,0.619718,0.781690,0.889671,0.950704"
