item_id,cefr_true,true_p_mid,alpha,beta,k_train,n_train,p_est,p_error,acc_test_mid,brier_test_mid,logloss_test_mid,acc_weak_test,acc_strong_test,gap_weak_strong_test,var_p,ci95_low,ci95_high,ci95_width,level_hat,band_hat_lo,band_hat_hi,d_to_boundary_hat,nearest_boundary_hat,learned_edges_q
1,A1,0.9273956048555962,75.0,4.0,74,77,0.9493670886075949,0.021971483751998644,0.9393939393939394,0.05703242972911296,0.2296078451377668,0.9090909090909091,1.0,0.09090909090909094,0.000600865245954174,0.891688346862793,0.9858527183532715,0.09416437149047852,L6,0.8227848101265823,0.9493670886075949,0.0,0.9493670886075949,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
2,A1,0.8938878439752052,67.0,12.0,66,77,0.8481012658227848,-0.045786578152420376,0.9090909090909091,0.08636436468514662,0.3210994121308705,0.8787878787878788,0.9393939393939394,0.06060606060606066,0.0016103188591571863,0.7616615295410156,0.9178981781005859,0.1562366485595703,L6,0.8227848101265823,0.9493670886075949,0.025316455696202445,0.8227848101265823,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
3,A1,0.9358597919911382,74.0,5.0,73,77,0.9367088607594937,0.0008490687683554432,0.9696969696969697,0.030472971988754715,0.1470381283770963,0.8787878787878788,0.9393939393939394,0.06060606060606066,0.0007410671366768146,0.8738727569580078,0.9788603782653809,0.10498762130737305,L6,0.8227848101265823,0.9493670886075949,0.012658227848101222,0.9493670886075949,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
4,A1,0.9197368029059363,68.0,11.0,67,77,0.8607594936708861,-0.05897730923505018,1.0,0.019387918602788004,0.14994014729091476,0.9090909090909091,0.9696969696969697,0.06060606060606066,0.0014981573465790738,0.7768383026123047,0.9274425506591797,0.150604248046875,L6,0.8227848101265823,0.9493670886075949,0.03797468354430378,0.8227848101265823,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
5,A1,0.8594177347887649,69.0,10.0,68,77,0.8734177215189873,0.013999986730222402,0.7878787878787878,0.17444271265774228,0.5450580109371104,0.6666666666666666,0.7575757575757576,0.09090909090909094,0.0013819900656946002,0.7922325134277344,0.936772346496582,0.14453983306884766,L6,0.8227848101265823,0.9493670886075949,0.050632911392405,0.8227848101265823,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
6,A1,0.9475622351636755,74.0,5.0,73,77,0.9367088607594937,-0.010853374404181881,0.9090909090909091,0.08340737935354182,0.3103488666055853,0.9090909090909091,1.0,0.09090909090909094,0.0007410671366768146,0.8738727569580078,0.9788603782653809,0.10498762130737305,L6,0.8227848101265823,0.9493670886075949,0.012658227848101222,0.9493670886075949,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
7,A1,0.9261139701990353,75.0,4.0,74,77,0.9493670886075949,0.023253118408559592,0.9696969696969697,0.029798060722592057,0.14078379203423894,0.7878787878787878,1.0,0.21212121212121215,0.000600865245954174,0.891688346862793,0.9858527183532715,0.09416437149047852,L6,0.8227848101265823,0.9493670886075949,0.0,0.9493670886075949,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
8,A1,0.9286064305276953,73.0,6.0,72,77,0.9240506329113924,-0.00455579761630287,0.9090909090909091,0.08286842143595871,0.3061429542204791,0.9393939393939394,0.9393939393939394,0.0,0.0008772632590930941,0.8567123413085938,0.971247673034668,0.11453533172607422,L6,0.8227848101265823,0.9493670886075949,0.025316455696202445,0.9493670886075949,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
9,A1,0.8628113632675546,73.0,6.0,72,77,0.9240506329113924,0.06123926964383786,0.8787878787878788,0.10856845979422491,0.38186113518776205,0.7575757575757576,0.8787878787878788,0.12121212121212122,0.0008772632590930941,0.8567123413085938,0.971247673034668,0.11453533172607422,L6,0.8227848101265823,0.9493670886075949,0.025316455696202445,0.9493670886075949,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
10,A1,0.8950385937895566,70.0,9.0,69,77,0.8860759493670886,-0.00896264442246808,0.9090909090909091,0.08317431647026263,0.3074317617552207,0.7878787878787878,0.9393939393939394,0.1515151515151516,0.0012618170165037655,0.8078727722167969,0.9458599090576172,0.1379871368408203,L6,0.8227848101265823,0.9493670886075949,0.06329113924050622,0.8227848101265823,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
11,A1,0.8870798024232581,70.0,9.0,69,77,0.8860759493670886,-0.001003853056169568,0.9090909090909091,0.08317431647026263,0.3074317617552207,0.7575757575757576,0.9090909090909091,0.1515151515151515,0.0012618170165037655,0.8078727722167969,0.9458599090576172,0.1379871368408203,L6,0.8227848101265823,0.9493670886075949,0.06329113924050622,0.8227848101265823,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
12,A1,0.9426764988848602,75.0,4.0,74,77,0.9493670886075949,0.00669058972273473,0.9696969696969697,0.029798060722592053,0.14078379203423896,0.8484848484848485,0.9696969696969697,0.12121212121212122,0.000600865245954174,0.891688346862793,0.9858527183532715,0.09416437149047852,L6,0.8227848101265823,0.9493670886075949,0.0,0.9493670886075949,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
13,A1,0.9143865120080664,74.0,5.0,73,77,0.9367088607594937,0.022322348751427246,0.9393939393939394,0.056940175671148265,0.2286934974913408,0.8181818181818182,0.9090909090909091,0.09090909090909083,0.0007410671366768146,0.8738727569580078,0.9788603782653809,0.10498762130737305,L6,0.8227848101265823,0.9493670886075949,0.012658227848101222,0.9493670886075949,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
14,A1,0.9322761613270829,74.0,5.0,73,77,0.9367088607594937,0.004432699432410758,0.8484848484848485,0.13634178671832892,0.4736596048340744,0.8484848484848485,0.9696969696969697,0.12121212121212122,0.0007410671366768146,0.8738727569580078,0.9788603782653809,0.10498762130737305,L6,0.8227848101265823,0.9493670886075949,0.012658227848101222,0.9493670886075949,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
15,A1,0.8943414198827331,69.0,10.0,68,77,0.8734177215189873,-0.020923698363745746,0.8787878787878788,0.10654858147247186,0.3694651553368183,0.9393939393939394,0.9696969696969697,0.030303030303030276,0.0013819900656946002,0.7922325134277344,0.936772346496582,0.14453983306884766,L6,0.8227848101265823,0.9493670886075949,0.050632911392405,0.8227848101265823,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
16,A1,0.8727238721784777,65.0,14.0,64,77,0.8227848101265823,-0.049939062051895355,0.9696969696969697,0.05096793928711888,0.24158573227685032,0.7575757575757576,0.8484848484848485,0.09090909090909094,0.0018226245793943278,0.73187255859375,0.8982505798339844,0.16637802124023438,L6,0.8227848101265823,0.9493670886075949,0.0,0.8227848101265823,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
17,A1,0.9054584787015835,66.0,13.0,65,77,0.8354430379746836,-0.07001544072689991,0.9090909090909091,0.0880686370191257,0.32749359994649485,0.8181818181818182,0.8787878787878788,0.06060606060606055,0.0017184746034289377,0.7466793060302734,0.9081611633300781,0.1614818572998047,L6,0.8227848101265823,0.9493670886075949,0.012658227848101222,0.8227848101265823,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
18,A1,0.8563817256104175,72.0,7.0,71,77,0.9113924050632911,0.055010679452873634,0.8181818181818182,0.15744854408530104,0.5165555461711011,0.696969696969697,0.9393939393939394,0.24242424242424243,0.0010094536132030122,0.8400535583496094,0.9631528854370117,0.12309932708740234,L6,0.8227848101265823,0.9493670886075949,0.03797468354430378,0.9493670886075949,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
19,A1,0.9327631171992582,74.0,5.0,73,77,0.9367088607594937,0.003945743560235471,0.9696969696969697,0.030472971988754715,0.14703812837709626,0.9696969696969697,0.9696969696969697,0.0,0.0007410671366768146,0.8738727569580078,0.9788603782653809,0.10498762130737305,L6,0.8227848101265823,0.9493670886075949,0.012658227848101222,0.9493670886075949,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
