item_id,true_p_mid,cefr_true
1,0.8516666666666667,A1
2,0.855,A1
3,0.8583333333333333,A1
4,0.8616666666666667,A1
5,0.865,A1
6,0.8683333333333333,A1
7,0.8716666666666666,A1
8,0.875,A1
9,0.8783333333333333,A1
10,0.8816666666666666,A1
11,0.885,A1
12,0.8883333333333333,A1
13,0.8916666666666666,A1
14,0.895,A1
15,0.8983333333333333,A1
16,0.9016666666666666,A1
17,0.905,A1
18,0.9083333333333332,A1
19,0.9116666666666666,A1
20,0.915,A1
21,0.9183333333333332,A1
22,0.9216666666666666,A1
23,0.925,A1
24,0.9283333333333332,A1
25,0.9316666666666666,A1
26,0.935,A1
27,0.9383333333333332,A1
28,0.9416666666666668,A1
29,0.945,A1
30,0.9483333333333333,A1
31,0.7024999999999999,A2
32,0.7074999999999999,A2
33,0.7124999999999999,A2
34,0.7174999999999999,A2
35,0.7224999999999999,A2
36,0.7274999999999999,A2
37,0.7324999999999999,A2
38,0.7374999999999999,A2
39,0.7424999999999999,A2
40,0.7474999999999999,A2
41,0.7525,A2
42,0.7575,A2
43,0.7625,A2
44,0.7675,A2
45,0.7725,A2
46,0.7775,A2
47,0.7825,A2
48,0.7875,A2
49,0.7925,A2
50,0.7975,A2
51,0.8025,A2
52,0.8075,A2
53,0.8125,A2
54,0.8175,A2
55,0.8225,A2
56,0.8274999999999999,A2
57,0.8325,A2
58,0.8374999999999999,A2
59,0.8425,A2
60,0.8474999999999999,A2
61,0.5525,B1
62,0.5575,B1
63,0.5625,B1
64,0.5675,B1
65,0.5725,B1
66,0.5775,B1
67,0.5825,B1
68,0.5875,B1
69,0.5925,B1
70,0.5975,B1
71,0.6025,B1
72,0.6075,B1
73,0.6125,B1
74,0.6175,B1
75,0.6225,B1
76,0.6275,B1
77,0.6325000000000001,B1
78,0.6375,B1
79,0.6425,B1
80,0.6475,B1
81,0.6525,B1
82,0.6575,B1
83,0.6625,B1
84,0.6675,B1
85,0.6725,B1
86,0.6775,B1
87,0.6825,B1
88,0.6875,B1
89,0.6924999999999999,B1
90,0.6975,B1
91,0.4025,B2
92,0.4075,B2
93,0.4125,B2
94,0.4175,B2
95,0.4225,B2
96,0.4275,B2
97,0.4325,B2
98,0.4375,B2
99,0.4425,B2
100,0.4475,B2
101,0.4525,B2
102,0.4575,B2
103,0.4625,B2
104,0.4675,B2
105,0.4725,B2
106,0.4775,B2
107,0.4825,B2
108,0.4875,B2
109,0.4925,B2
110,0.4975,B2
111,0.5025000000000001,B2
112,0.5075000000000001,B2
113,0.5125000000000001,B2
114,0.5175000000000001,B2
115,0.5225000000000001,B2
116,0.5275000000000001,B2
117,0.5325,B2
118,0.5375000000000001,B2
119,0.5425,B2
120,0.5475000000000001,B2
121,0.2525,C1
122,0.2575,C1
123,0.2625,C1
124,0.2675,C1
125,0.2725,C1
126,0.2775,C1
127,0.2825,C1
128,0.2875,C1
129,0.2925,C1
130,0.2975,C1
131,0.3025,C1
132,0.3075,C1
133,0.3125,C1
134,0.3175,C1
135,0.3225,C1
136,0.3275,C1
137,0.3325,C1
138,0.3375,C1
139,0.3425,C1
140,0.3475,C1
141,0.3525,C1
142,0.3575,C1
143,0.3625,C1
144,0.3675,C1
145,0.3725,C1
146,0.3775,C1
147,0.3825,C1
148,0.3875,C1
149,0.3925,C1
150,0.3975,C1
151,0.1025,C2
152,0.1075,C2
153,0.1125,C2
154,0.1175,C2
155,0.1225,C2
156,0.1275,C2
157,0.1325,C2
158,0.1375,C2
159,0.1425,C2
160,0.1475,C2
161,0.1525,C2
162,0.1575,C2
163,0.1625,C2
164,0.1675,C2
165,0.1725,C2
166,0.1775,C2
167,0.1825,C2
168,0.1875,C2
169,0.1925,C2
170,0.1975,C2
171,0.2025,C2
172,0.2075,C2
173,0.2125,C2
174,0.2175,C2
175,0.2225,C2
176,0.2275,C2
177,0.2324999999999999,C2
178,0.2375,C2
179,0.2425,C2
180,0.2475,C2
