item_id,cefr_true,true_p_mid,alpha,beta,k_train,n_train,p_est,p_error,acc_test_mid,brier_test_mid,logloss_test_mid,acc_weak_test,acc_strong_test,gap_weak_strong_test,var_p,ci95_low,ci95_high,ci95_width,level_hat,band_hat_lo,band_hat_hi,d_to_boundary_hat,nearest_boundary_hat,learned_edges_q
1,A1,0.8516666666666667,96.0,11.0,95,105,0.897196261682243,0.045529595015576296,0.8888888888888888,0.09883444454149316,0.349197633957344,0.7555555555555555,0.9111111111111111,0.15555555555555556,0.0008540289787560292,0.833343505859375,0.9470467567443848,0.11370325088500977,L6,0.8504672897196262,0.9626168224299065,0.04672897196261683,0.8504672897196262,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
2,A1,0.855,87.0,20.0,86,105,0.8130841121495327,-0.04191588785046729,0.8888888888888888,0.10451179627526908,0.37027358748516603,0.6888888888888889,0.8666666666666667,0.1777777777777778,0.00140720683999573,0.7343244552612305,0.880772590637207,0.14644813537597656,L5,0.6915887850467289,0.8504672897196262,0.03738317757009346,0.8504672897196262,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
3,A1,0.8583333333333333,93.0,14.0,92,105,0.8691588785046729,0.010825545171339601,0.8222222222222222,0.14837588920914976,0.4768590592709609,0.8666666666666667,0.9111111111111111,0.0444444444444444,0.0010529789113071495,0.799412727355957,0.9258718490600586,0.12645912170410156,L6,0.8504672897196262,0.9626168224299065,0.01869158878504673,0.8504672897196262,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
4,A1,0.8616666666666667,94.0,13.0,93,105,0.8785046728971962,0.016838006230529556,0.8666666666666667,0.1156956939470696,0.3933134421663646,0.7777777777777778,0.9333333333333333,0.15555555555555556,0.0009882797462498747,0.8105983734130859,0.9330539703369141,0.12245559692382812,L6,0.8504672897196262,0.9626168224299065,0.028037383177570097,0.8504672897196262,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
5,A1,0.865,93.0,14.0,92,105,0.8691588785046729,0.0041588785046728916,0.8444444444444444,0.1319688279422754,0.43478034452567205,0.8,0.8888888888888888,0.0888888888888888,0.0010529789113071495,0.799412727355957,0.9258718490600586,0.12645912170410156,L6,0.8504672897196262,0.9626168224299065,0.01869158878504673,0.8504672897196262,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
6,A1,0.8683333333333333,89.0,18.0,88,105,0.8317757009345794,-0.03655763239875387,0.9111111111111111,0.0872817616288662,0.3262604302262975,0.8,0.9111111111111111,0.11111111111111105,0.0012956007802719307,0.7556838989257812,0.8961410522460938,0.1404571533203125,L5,0.6915887850467289,0.8504672897196262,0.01869158878504673,0.8504672897196262,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
7,A1,0.8716666666666666,95.0,12.0,94,105,0.8878504672897196,0.016183800623053024,0.8444444444444444,0.1332421075106026,0.4407917582544272,0.7777777777777778,0.9555555555555556,0.1777777777777778,0.0009219631020661678,0.8219032287597656,0.9401168823242188,0.11821365356445312,L6,0.8504672897196262,0.9626168224299065,0.03738317757009346,0.8504672897196262,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
8,A1,0.875,96.0,11.0,95,105,0.897196261682243,0.02219626168224298,0.8666666666666667,0.11648761172737065,0.3973410321499987,0.8888888888888888,1.0,0.11111111111111116,0.0008540289787560292,0.833343505859375,0.9470467567443848,0.11370325088500977,L6,0.8504672897196262,0.9626168224299065,0.04672897196261683,0.8504672897196262,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
9,A1,0.8783333333333333,98.0,9.0,97,105,0.9158878504672897,0.03755451713395641,0.8888888888888888,0.09949437602507742,0.35316612260626234,0.7555555555555555,0.9777777777777777,0.2222222222222222,0.0007133082947564562,0.8566989898681641,0.9604387283325195,0.10373973846435547,L6,0.8504672897196262,0.9626168224299065,0.04672897196261683,0.9626168224299065,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
10,A1,0.8816666666666666,94.0,13.0,93,105,0.8785046728971962,-0.0031619937694703504,0.8888888888888888,0.09887326404052757,0.3493502105039542,0.6444444444444445,0.9555555555555556,0.3111111111111111,0.0009882797462498747,0.8105983734130859,0.9330539703369141,0.12245559692382812,L6,0.8504672897196262,0.9626168224299065,0.028037383177570097,0.8504672897196262,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
11,A1,0.885,96.0,11.0,95,105,0.897196261682243,0.01219626168224297,0.8888888888888888,0.09883444454149319,0.34919763395734393,0.7777777777777778,0.9111111111111111,0.1333333333333333,0.0008540289787560292,0.833343505859375,0.9470467567443848,0.11370325088500977,L6,0.8504672897196262,0.9626168224299065,0.04672897196261683,0.8504672897196262,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
12,A1,0.8883333333333333,97.0,10.0,96,105,0.9065420560747663,0.018208722741433037,0.9777777777777777,0.026802923108277293,0.14860954230317525,0.8444444444444444,0.9333333333333333,0.0888888888888889,0.0007844773763194586,0.8449344635009766,0.9538273811340332,0.10889291763305664,L6,0.8504672897196262,0.9626168224299065,0.05607476635514019,0.8504672897196262,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
13,A1,0.8916666666666666,96.0,11.0,95,105,0.897196261682243,0.005529595015576372,0.8888888888888888,0.09883444454149316,0.349197633957344,0.8444444444444444,1.0,0.15555555555555556,0.0008540289787560292,0.833343505859375,0.9470467567443848,0.11370325088500977,L6,0.8504672897196262,0.9626168224299065,0.04672897196261683,0.8504672897196262,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
14,A1,0.895,96.0,11.0,95,105,0.897196261682243,0.0021962616822429615,0.8666666666666667,0.11648761172737065,0.3973410321499987,0.8444444444444444,0.9777777777777777,0.1333333333333333,0.0008540289787560292,0.833343505859375,0.9470467567443848,0.11370325088500977,L6,0.8504672897196262,0.9626168224299065,0.04672897196261683,0.8504672897196262,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
15,A1,0.8983333333333333,94.0,13.0,93,105,0.8785046728971962,-0.01982866043613707,0.8444444444444444,0.13251812385361167,0.4372766738287751,0.9333333333333333,0.9333333333333333,0.0,0.0009882797462498747,0.8105983734130859,0.9330539703369141,0.12245559692382812,L6,0.8504672897196262,0.9626168224299065,0.028037383177570097,0.8504672897196262,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
16,A1,0.9016666666666666,96.0,11.0,95,105,0.897196261682243,-0.004470404984423637,0.9111111111111111,0.0811812773556157,0.30105423576468915,0.8888888888888888,0.9333333333333333,0.04444444444444451,0.0008540289787560292,0.833343505859375,0.9470467567443848,0.11370325088500977,L6,0.8504672897196262,0.9626168224299065,0.04672897196261683,0.8504672897196262,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
17,A1,0.905,92.0,15.0,91,105,0.8598130841121495,-0.04518691588785051,0.9111111111111111,0.08361914189497385,0.3122614463859174,0.8666666666666667,0.9555555555555556,0.0888888888888889,0.0011160605972379927,0.7883377075195312,0.9185810089111328,0.13024330139160156,L6,0.8504672897196262,0.9626168224299065,0.009345794392523366,0.8504672897196262,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
18,A1,0.9083333333333332,98.0,9.0,97,105,0.9158878504672897,0.007554517133956495,0.8666666666666667,0.11797828049029029,0.4062270759692478,0.8444444444444444,0.9111111111111111,0.06666666666666665,0.0007133082947564562,0.8566989898681641,0.9604387283325195,0.10373973846435547,L6,0.8504672897196262,0.9626168224299065,0.04672897196261683,0.9626168224299065,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
19,A1,0.9116666666666666,101.0,6.0,100,105,0.9439252336448598,0.03225856697819318,0.8,0.18071447287972753,0.6223805271432877,0.8666666666666667,0.9333333333333333,0.06666666666666665,0.0004900961753088577,0.8933486938476562,0.9789466857910156,0.08559799194335938,L6,0.8504672897196262,0.9626168224299065,0.01869158878504673,0.9626168224299065,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
20,A1,0.915,101.0,6.0,100,105,0.9439252336448598,0.02892523364485977,0.9555555555555556,0.04260440019021555,0.18319103084790017,0.8444444444444444,0.9333333333333333,0.0888888888888889,0.0004900961753088577,0.8933486938476562,0.9789466857910156,0.08559799194335938,L6,0.8504672897196262,0.9626168224299065,0.01869158878504673,0.9626168224299065,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
21,A1,0.9183333333333332,98.0,9.0,97,105,0.9158878504672897,-0.0024454828660435135,0.9555555555555556,0.04404266262943878,0.1939832625173055,0.9111111111111111,0.9777777777777777,0.06666666666666665,0.0007133082947564562,0.8566989898681641,0.9604387283325195,0.10373973846435547,L6,0.8504672897196262,0.9626168224299065,0.04672897196261683,0.9626168224299065,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
22,A1,0.9216666666666666,98.0,9.0,97,105,0.9158878504672897,-0.005778816199376924,0.9111111111111111,0.08101047155986453,0.3001051692432767,0.8666666666666667,0.9777777777777777,0.11111111111111105,0.0007133082947564562,0.8566989898681641,0.9604387283325195,0.10373973846435547,L6,0.8504672897196262,0.9626168224299065,0.04672897196261683,0.9626168224299065,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
23,A1,0.925,96.0,11.0,95,105,0.897196261682243,-0.027803738317757065,0.9555555555555556,0.04587494298386077,0.20476743937937963,0.8888888888888888,0.9555555555555556,0.06666666666666676,0.0008540289787560292,0.833343505859375,0.9470467567443848,0.11370325088500977,L6,0.8504672897196262,0.9626168224299065,0.04672897196261683,0.8504672897196262,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
24,A1,0.9283333333333332,102.0,5.0,101,105,0.9532710280373832,0.02493769470404994,0.8888888888888888,0.10291049194010152,0.3829154546054318,0.8666666666666667,0.9333333333333333,0.06666666666666665,0.0004124571772401277,0.9061946868896484,0.9845089912414551,0.07831430435180664,L6,0.8504672897196262,0.9626168224299065,0.009345794392523366,0.9626168224299065,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
