item_id,cefr_true,true_p_mid,alpha,beta,k_train,n_train,p_est,p_error,acc_test_mid,brier_test_mid,logloss_test_mid,acc_weak_test,acc_strong_test,gap_weak_strong_test,var_p,ci95_low,ci95_high,ci95_width,level_hat,band_hat_lo,band_hat_hi,d_to_boundary_hat,nearest_boundary_hat,learned_edges_q
1,A1,0.8516666666666667,102.0,12.0,101,112,0.8947368421052632,0.04307017543859648,0.8958333333333334,0.09331717451523547,0.33414919380775254,0.7291666666666666,0.9166666666666666,0.1875,0.0008189810911718656,0.8324966430664062,0.9439105987548828,0.11141395568847656,L6,0.8508771929824561,0.956140350877193,0.04385964912280704,0.8508771929824561,"0.105263,0.219298,0.385965,0.543860,0.692982,0.850877,0.956140"
2,A1,0.855,93.0,21.0,92,112,0.8157894736842105,-0.03921052631578947,0.8958333333333334,0.0997229916897507,0.35860698184851375,0.6875,0.8958333333333334,0.20833333333333337,0.0013067565940021678,0.7399730682373047,0.8811244964599609,0.14115142822265625,L5,0.6929824561403509,0.8508771929824561,0.03508771929824561,0.8508771929824561,"0.105263,0.219298,0.385965,0.543860,0.692982,0.850877,0.956140"
3,A1,0.8583333333333333,97.0,17.0,96,112,0.8508771929824561,-0.007456140350877161,0.875,0.10995690981840563,0.3791746741970085,0.8333333333333334,0.8958333333333334,0.0625,0.0011033495256065411,0.7802677154541016,0.9098501205444336,0.12958240509033203,L6,0.8508771929824561,0.956140350877193,0.0,0.8508771929824561,"0.105263,0.219298,0.385965,0.543860,0.692982,0.850877,0.956140"
4,A1,0.8616666666666667,100.0,14.0,99,112,0.8771929824561403,0.01552631578947361,0.8125,0.15652893197907045,0.4996744229763102,0.7708333333333334,0.9375,0.16666666666666663,0.0009367430781377548,0.8113079071044922,0.9305810928344727,0.11927318572998047,L6,0.8508771929824561,0.956140350877193,0.02631578947368418,0.8508771929824561,"0.105263,0.219298,0.385965,0.543860,0.692982,0.850877,0.956140"
5,A1,0.865,98.0,16.0,97,112,0.8596491228070176,-0.0053508771929824395,0.875,0.10961064943059405,0.37777831427777236,0.7708333333333334,0.9375,0.16666666666666663,0.0010491522475142854,0.7905263900756836,0.9168481826782227,0.12632179260253906,L6,0.8508771929824561,0.956140350877193,0.00877192982456143,0.8508771929824561,"0.105263,0.219298,0.385965,0.543860,0.692982,0.850877,0.956140"
6,A1,0.8683333333333333,95.0,19.0,94,112,0.8333333333333334,-0.03499999999999992,0.9166666666666666,0.08333333333333333,0.3164413828301296,0.8541666666666666,0.9166666666666666,0.0625,0.0012077294685990338,0.7599821090698242,0.895625114440918,0.13564300537109375,L5,0.6929824561403509,0.8508771929824561,0.01754385964912275,0.8508771929824561,"0.105263,0.219298,0.385965,0.543860,0.692982,0.850877,0.956140"
7,A1,0.8716666666666666,102.0,12.0,101,112,0.8947368421052632,0.023070175438596574,0.8333333333333334,0.14265927977839335,0.4679033290262695,0.7708333333333334,0.9583333333333334,0.1875,0.0008189810911718656,0.8324966430664062,0.9439105987548828,0.11141395568847656,L6,0.8508771929824561,0.956140350877193,0.04385964912280704,0.8508771929824561,"0.105263,0.219298,0.385965,0.543860,0.692982,0.850877,0.956140"
8,A1,0.875,102.0,12.0,101,112,0.8947368421052632,0.019736842105263164,0.8541666666666666,0.1262119113573407,0.42331861728676384,0.8958333333333334,0.9583333333333334,0.0625,0.0008189810911718656,0.8324966430664062,0.9439105987548828,0.11141395568847656,L6,0.8508771929824561,0.956140350877193,0.04385964912280704,0.8508771929824561,"0.105263,0.219298,0.385965,0.543860,0.692982,0.850877,0.956140"
9,A1,0.8783333333333333,104.0,10.0,103,112,0.9122807017543859,0.033947368421052615,0.8958333333333334,0.09358648815020006,0.335745654060136,0.7916666666666666,1.0,0.20833333333333337,0.0006958662866166179,0.85418701171875,0.9567441940307617,0.10255718231201172,L6,0.8508771929824561,0.956140350877193,0.04385964912280704,0.956140350877193,"0.105263,0.219298,0.385965,0.543860,0.692982,0.850877,0.956140"
10,A1,0.8816666666666666,101.0,13.0,100,112,0.8859649122807017,0.004298245614035134,0.8958333333333334,0.09341335795629428,0.33463742732195706,0.7083333333333334,0.9791666666666666,0.27083333333333326,0.00087853118685348,0.8218460083007812,0.9373016357421875,0.11545562744140625,L6,0.8508771929824561,0.956140350877193,0.03508771929824561,0.8508771929824561,"0.105263,0.219298,0.385965,0.543860,0.692982,0.850877,0.956140"
