T,n_items,train_frac,MAE_p,RMSE_p,MeanVarP,MeanCI95Width,MeanBoundaryDist,"Pearson_r(dist, CI95Width)",QA_low_gap_count,gap_th,learned_edges_q
10,180,0.7,0.11421913580246913,0.14884844611495535,0.018792866941015087,0.5103175388442145,0.014197530864197533,0.23877126351542546,79,0.05,"0.111111,0.222222,0.444444,0.555556,0.666667,0.777778,0.888889"
20,180,0.7,0.09275925925925925,0.11588711115074099,0.010804738562091503,0.39118134842978586,0.03408564814814814,0.061835899791450225,61,0.05,"0.062500,0.239583,0.437500,0.562500,0.687500,0.812500,0.937500"
30,180,0.7,0.0686207729468599,0.08953572242264751,0.007804732899250857,0.33580863740709094,0.03140096618357488,0.1376066056785526,50,0.05,"0.086957,0.217391,0.420290,0.565217,0.695652,0.826087,0.956522"
40,180,0.7,0.056574074074074075,0.07427192904755095,0.006022500995619275,0.2960284339057075,0.03598765432098765,-0.09149992385557408,27,0.05,"0.100000,0.233333,0.433333,0.566667,0.677778,0.833333,0.966667"
50,180,0.7,0.05654904904904906,0.07241530954854758,0.004896432705821041,0.26721752915117475,0.040690690690690694,-0.05319211664880676,15,0.05,"0.081081,0.243243,0.405405,0.554054,0.675676,0.837838,0.972973"
60,180,0.7,0.05256060606060605,0.06553755482344062,0.0040971584532190596,0.2444469839334488,0.03998316498316498,0.0629172438085904,15,0.05,"0.090909,0.227273,0.401515,0.568182,0.681818,0.840909,0.977273"
70,180,0.7,0.047891067538126365,0.0608869212235774,0.003535375940220231,0.22705055707030827,0.03660130718954248,-0.034180548528711684,27,0.05,"0.098039,0.254902,0.392157,0.568627,0.686275,0.843137,0.980392"
80,180,0.7,0.04553927203065135,0.05720665096107372,0.003114454364479557,0.21326723098754882,0.03730842911877394,0.11853415864937736,28,0.05,"0.086207,0.258621,0.396552,0.560345,0.689655,0.847701,0.965517"
90,180,0.7,0.041143162393162375,0.05203385662245505,0.002789512481820174,0.20224140220218234,0.040256410256410254,0.09628851020038558,23,0.05,"0.092308,0.258974,0.394872,0.561538,0.682051,0.846154,0.969231"
100,180,0.7,0.0394104938271605,0.049062236517776074,0.0025012272863934454,0.19146047234535218,0.0392232510288066,-0.0033332803923008174,12,0.05,"0.083333,0.259259,0.398148,0.555556,0.680556,0.849537,0.972222"
110,180,0.7,0.03839545241443976,0.04774238445719134,0.0022868708718332175,0.18322869274351333,0.039369432723863104,0.021547352332141702,10,0.05,"0.075949,0.253165,0.400844,0.556962,0.683544,0.837553,0.962025"
120,180,0.7,0.03619186046511628,0.04589666649463182,0.0021027382168539556,0.17577254242367216,0.03563738156761413,0.11163263037381287,11,0.05,"0.104651,0.255814,0.391473,0.558140,0.686047,0.848837,0.965116"
130,180,0.7,0.03491786140979689,0.044813059324618564,0.0019431454243743454,0.1690934101740519,0.036857825567502986,0.1255102553501254,10,0.05,"0.096774,0.247312,0.376344,0.559140,0.688172,0.849462,0.967742"
140,180,0.7,0.03425,0.044269359997270136,0.00181029702970297,0.1632933364974128,0.036564814814814814,0.07097112142612598,16,0.05,"0.090000,0.240000,0.386667,0.560000,0.683333,0.841667,0.960000"
150,180,0.7,0.032243509865005196,0.04146198302144825,0.0016892862136503018,0.15783655643463135,0.0357736240913811,0.12201199954405367,10,0.05,"0.093458,0.224299,0.389408,0.551402,0.691589,0.850467,0.962617"
160,180,0.7,0.03182358674463938,0.04057067725310009,0.0015895898106143397,0.1532340023252699,0.0347953216374269,0.18727949330726618,8,0.05,"0.105263,0.219298,0.385965,0.543860,0.692982,0.850877,0.956140"
170,180,0.7,0.0314229415365779,0.04027792370294563,0.0014972426286488187,0.1488053494029575,0.03573614937251301,0.12563428123696577,10,0.05,"0.099174,0.223140,0.385675,0.545455,0.702479,0.842975,0.958678"
180,180,0.7,0.029669560185185188,0.03817634119585877,0.0014184102428873278,0.14488094780180188,0.03704427083333333,0.09489320430969633,7,0.05,"0.101562,0.225260,0.388021,0.542969,0.690104,0.845052,0.960938"
190,180,0.7,0.029216049382716047,0.03739130337259233,0.0013468893730331638,0.141184663772583,0.0373113854595336,0.0568361305248223,5,0.05,"0.103704,0.235802,0.385185,0.548148,0.688889,0.838272,0.962963"
200,180,0.7,0.02830138236828377,0.03659039634611264,0.0012806602025011071,0.13768357435862225,0.037245696400625986,0.032669029365991184,5,0.05,"0.098592,0.232394,0.384977,0.542254,0.690141,0.840376,0.964789"
