item_id,cefr_true,true_p_mid,alpha,beta,k_train,n_train,p_est,p_error,acc_test_mid,brier_test_mid,logloss_test_mid,acc_weak_test,acc_strong_test,gap_weak_strong_test,var_p,ci95_low,ci95_high,ci95_width,level_hat,band_hat_lo,band_hat_hi,d_to_boundary_hat,nearest_boundary_hat,learned_edges_q
62,B1,0.5575,71.0,71.0,70,140,0.5,-0.057499999999999996,0.5166666666666667,0.25,0.6931471805599454,0.4166666666666667,0.6333333333333333,0.21666666666666662,0.0017482517482517483,0.41817283630371094,0.5818271636962891,0.16365432739257812,L3,0.3849765258215962,0.5422535211267605,0.04225352112676051,0.5422535211267605,"0.098592,0.232394,0.384977,0.542254,0.690141,0.840376,0.964789"
67,B1,0.5825,71.0,71.0,70,140,0.5,-0.08250000000000002,0.5666666666666667,0.25,0.6931471805599454,0.4166666666666667,0.8,0.38333333333333336,0.0017482517482517483,0.41817283630371094,0.5818271636962891,0.16365432739257812,L3,0.3849765258215962,0.5422535211267605,0.04225352112676051,0.5422535211267605,"0.098592,0.232394,0.384977,0.542254,0.690141,0.840376,0.964789"
97,B2,0.4325,72.0,70.0,71,140,0.5070422535211268,0.07454225352112676,0.4166666666666667,0.25122330225484363,0.6955939501491116,0.2833333333333333,0.55,0.2666666666666667,0.0017479049417156935,0.4251289367675781,0.5887670516967773,0.16363811492919922,L3,0.3849765258215962,0.5422535211267605,0.035211267605633756,0.5422535211267605,"0.098592,0.232394,0.384977,0.542254,0.690141,0.840376,0.964789"
108,B2,0.4875,72.0,70.0,71,140,0.5070422535211268,0.019542253521126762,0.5333333333333333,0.24958010976658068,0.6923073478363304,0.3333333333333333,0.6333333333333333,0.3,0.0017479049417156935,0.4251289367675781,0.5887670516967773,0.16363811492919922,L3,0.3849765258215962,0.5422535211267605,0.035211267605633756,0.5422535211267605,"0.098592,0.232394,0.384977,0.542254,0.690141,0.840376,0.964789"
118,B2,0.5375000000000001,70.0,72.0,69,140,0.49295774647887325,-0.04454225352112684,0.4666666666666667,0.2495801097665807,0.6923073478363303,0.43333333333333335,0.6,0.16666666666666663,0.0017479049417156935,0.41123294830322266,0.5748710632324219,0.16363811492919922,L3,0.3849765258215962,0.5422535211267605,0.04929577464788726,0.5422535211267605,"0.098592,0.232394,0.384977,0.542254,0.690141,0.840376,0.964789"
113,B2,0.5125000000000001,72.0,70.0,71,140,0.5070422535211268,-0.005457746478873315,0.48333333333333334,0.25028433511869336,0.6937158916846653,0.45,0.5666666666666667,0.11666666666666664,0.0017479049417156935,0.4251289367675781,0.5887670516967773,0.16363811492919922,L3,0.3849765258215962,0.5422535211267605,0.035211267605633756,0.5422535211267605,"0.098592,0.232394,0.384977,0.542254,0.690141,0.840376,0.964789"
95,B2,0.4225,73.0,69.0,72,140,0.5140845070422535,0.09158450704225352,0.4,0.253015274747074,0.6991793783835488,0.2833333333333333,0.5166666666666667,0.2333333333333334,0.0017468645221075294,0.4321022033691406,0.5956907272338867,0.1635885238647461,L3,0.3849765258215962,0.5422535211267605,0.028169014084507005,0.5422535211267605,"0.098592,0.232394,0.384977,0.542254,0.690141,0.840376,0.964789"
107,B2,0.4825,68.0,74.0,67,140,0.4788732394366197,-0.0036267605633802935,0.5166666666666667,0.251150565364015,0.6954499482115902,0.43333333333333335,0.6833333333333333,0.25,0.001745130489427256,0.3974018096923828,0.5609092712402344,0.16350746154785156,L3,0.3849765258215962,0.5422535211267605,0.06338028169014082,0.5422535211267605,"0.098592,0.232394,0.384977,0.542254,0.690141,0.840376,0.964789"
115,B2,0.5225000000000001,74.0,68.0,73,140,0.5211267605633803,-0.001373239436619822,0.6,0.24622098789922636,0.6855849196083162,0.31666666666666665,0.6166666666666667,0.30000000000000004,0.001745130489427256,0.4390907287597656,0.6025981903076172,0.16350746154785156,L3,0.3849765258215962,0.5422535211267605,0.021126760563380254,0.5422535211267605,"0.098592,0.232394,0.384977,0.542254,0.690141,0.840376,0.964789"
106,B2,0.4775,68.0,74.0,67,140,0.4788732394366197,0.001373239436619711,0.5,0.25044634001190236,0.6940406584111224,0.36666666666666664,0.7,0.3333333333333333,0.001745130489427256,0.3974018096923828,0.5609092712402344,0.16350746154785156,L3,0.3849765258215962,0.5422535211267605,0.06338028169014082,0.5422535211267605,"0.098592,0.232394,0.384977,0.542254,0.690141,0.840376,0.964789"
