item_id,cefr_true,true_p_mid,alpha,beta,k_train,n_train,p_est,p_error,acc_test_mid,brier_test_mid,logloss_test_mid,acc_weak_test,acc_strong_test,gap_weak_strong_test,var_p,ci95_low,ci95_high,ci95_width,level_hat,band_hat_lo,band_hat_hi,d_to_boundary_hat,nearest_boundary_hat,learned_edges_q
1,A1,0.9273956048555962,101.0,6.0,100,105,0.9439252336448598,0.016529628789263562,0.9555555555555556,0.042604400190215545,0.18319103084790017,0.8888888888888888,0.9333333333333333,0.04444444444444451,0.0004900961753088577,0.8933486938476562,0.9789466857910156,0.08559799194335938,L6,0.8317757009345794,0.9532710280373832,0.009345794392523366,0.9532710280373832,"0.093458,0.252336,0.389408,0.551402,0.691589,0.831776,0.953271"
2,A1,0.8938878439752052,92.0,15.0,91,105,0.8598130841121495,-0.03407475986305564,0.9111111111111111,0.08361914189497387,0.3122614463859174,0.7333333333333333,0.8888888888888888,0.15555555555555556,0.0011160605972379927,0.7883377075195312,0.9185810089111328,0.13024330139160156,L6,0.8317757009345794,0.9532710280373832,0.028037383177570097,0.8317757009345794,"0.093458,0.252336,0.389408,0.551402,0.691589,0.831776,0.953271"
3,A1,0.9358597919911382,102.0,5.0,101,105,0.9532710280373832,0.01741123604624495,0.9111111111111111,0.08276511291621783,0.3159035679198725,0.9555555555555556,0.9555555555555556,0.0,0.0004124571772401277,0.9061946868896484,0.9845089912414551,0.07831430435180664,L6,0.8317757009345794,0.9532710280373832,0.0,0.9532710280373832,"0.093458,0.252336,0.389408,0.551402,0.691589,0.831776,0.953271"
4,A1,0.9197368029059363,96.0,11.0,95,105,0.897196261682243,-0.02254054122369331,0.9111111111111111,0.08118127735561573,0.30105423576468915,0.8444444444444444,0.9555555555555556,0.11111111111111116,0.0008540289787560292,0.833343505859375,0.9470467567443848,0.11370325088500977,L6,0.8317757009345794,0.9532710280373832,0.05607476635514019,0.9532710280373832,"0.093458,0.252336,0.389408,0.551402,0.691589,0.831776,0.953271"
5,A1,0.8594177347887649,92.0,15.0,91,105,0.8598130841121495,0.00039534932338458617,0.8444444444444444,0.1315942197765938,0.4331773381157061,0.8,0.8888888888888888,0.0888888888888888,0.0011160605972379927,0.7883377075195312,0.9185810089111328,0.13024330139160156,L6,0.8317757009345794,0.9532710280373832,0.028037383177570097,0.8317757009345794,"0.093458,0.252336,0.389408,0.551402,0.691589,0.831776,0.953271"
6,A1,0.9475622351636755,99.0,8.0,98,105,0.9252336448598131,-0.022328590303862472,0.9777777777777777,0.024489280965829134,0.13361294673742186,0.9333333333333333,0.9333333333333333,0.0,0.0006405217340670219,0.8686628341674805,0.9668540954589844,0.0981912612915039,L6,0.8317757009345794,0.9532710280373832,0.028037383177570097,0.9532710280373832,"0.093458,0.252336,0.389408,0.551402,0.691589,0.831776,0.953271"
7,A1,0.9261139701990353,102.0,5.0,101,105,0.9532710280373832,0.027157057838347876,0.8888888888888888,0.10291049194010152,0.38291545460543197,0.8888888888888888,0.9777777777777777,0.0888888888888889,0.0004124571772401277,0.9061946868896484,0.9845089912414551,0.07831430435180664,L6,0.8317757009345794,0.9532710280373832,0.0,0.9532710280373832,"0.093458,0.252336,0.389408,0.551402,0.691589,0.831776,0.953271"
8,A1,0.9286064305276953,99.0,8.0,98,105,0.9252336448598131,-0.0033727856678822388,0.9111111111111111,0.08118710028047088,0.3013248339677388,0.9333333333333333,1.0,0.06666666666666665,0.0006405217340670219,0.8686628341674805,0.9668540954589844,0.0981912612915039,L6,0.8317757009345794,0.9532710280373832,0.028037383177570097,0.9532710280373832,"0.093458,0.252336,0.389408,0.551402,0.691589,0.831776,0.953271"
9,A1,0.8628113632675546,98.0,9.0,97,105,0.9158878504672897,0.05307648719973512,0.8888888888888888,0.09949437602507742,0.35316612260626234,0.7555555555555555,0.9555555555555556,0.20000000000000007,0.0007133082947564562,0.8566989898681641,0.9604387283325195,0.10373973846435547,L6,0.8317757009345794,0.9532710280373832,0.03738317757009346,0.9532710280373832,"0.093458,0.252336,0.389408,0.551402,0.691589,0.831776,0.953271"
10,A1,0.8950385937895566,95.0,12.0,94,105,0.8878504672897196,-0.007188126499837022,0.8888888888888888,0.09876651041818306,0.34883752528498096,0.6444444444444445,0.9555555555555556,0.3111111111111111,0.0009219631020661678,0.8219032287597656,0.9401168823242188,0.11821365356445312,L6,0.8317757009345794,0.9532710280373832,0.05607476635514019,0.8317757009345794,"0.093458,0.252336,0.389408,0.551402,0.691589,0.831776,0.953271"
