T,n_items,train_frac,MAE_p,RMSE_p,MeanVarP,MeanCI95Width,MeanBoundaryDist,"Pearson_r(dist, CI95Width)",QA_low_gap_count,gap_th,learned_edges_q
10,180,0.7,0.11058683124247579,0.14446277870924254,0.01906721536351166,0.5147207286622789,0.011111111111111112,0.19629211194456675,85,0.05,"0.111111,0.222222,0.444444,0.555556,0.666667,0.777778,0.888889"
20,180,0.7,0.08857948874896954,0.11236547870422631,0.010924734477124184,0.39366120232476126,0.032233796296296295,-0.043465615992897624,59,0.05,"0.062500,0.239583,0.437500,0.562500,0.687500,0.812500,0.937500"
30,180,0.7,0.06786153385722385,0.08738975430050305,0.007864244206399215,0.33734027014838325,0.03526570048309178,-0.17204785966314637,47,0.05,"0.086957,0.260870,0.434783,0.565217,0.666667,0.789855,0.956522"
40,180,0.7,0.05682962427034482,0.07338122676372587,0.006064117881322182,0.29673978487650554,0.039444444444444435,-0.07054153536831413,29,0.05,"0.066667,0.266667,0.433333,0.566667,0.700000,0.800000,0.966667"
50,180,0.7,0.05560064824623397,0.07246510697289235,0.004940858354798612,0.26843528979354436,0.03961461461461462,-0.11787387867655458,17,0.05,"0.081081,0.265766,0.405405,0.540541,0.675676,0.815315,0.972973"
60,180,0.7,0.05086285125801137,0.06470453181781963,0.004148109886746251,0.24609043962425656,0.03611111111111113,-0.0937106268401399,13,0.05,"0.090909,0.272727,0.424242,0.545455,0.704545,0.818182,0.977273"
70,180,0.7,0.04671827172444217,0.060537408236835434,0.0035753835638495384,0.22848643395635818,0.03609295570079884,-0.18734665178096352,26,0.05,"0.078431,0.271242,0.411765,0.568627,0.686275,0.826797,0.980392"
80,180,0.7,0.04510049734056997,0.05792930454715472,0.003147623782108556,0.21458032578229905,0.03457854406130267,-0.004417755693308956,27,0.05,"0.103448,0.258621,0.396552,0.551724,0.689655,0.844828,0.982759"
90,180,0.7,0.041559851962923826,0.054156422143966695,0.0028074432689817307,0.20293680098321704,0.03698005698005698,0.0628028132106642,23,0.05,"0.092308,0.258974,0.400000,0.553846,0.682051,0.830769,0.969231"
100,180,0.7,0.03881375047293441,0.05078943248245031,0.0025204440075539767,0.19230954382154677,0.03575102880658436,0.23196482315246625,14,0.05,"0.097222,0.250000,0.398148,0.555556,0.694444,0.833333,0.958333"
110,180,0.7,0.03748925324959167,0.048745587457484245,0.0023047855578699995,0.1840561072031657,0.034118612283169245,0.27257746439405933,13,0.05,"0.101266,0.253165,0.400844,0.563291,0.687764,0.822785,0.949367"
120,180,0.7,0.03621974958438299,0.04752190097623644,0.002118572947166222,0.1764504379696316,0.032052110249784674,0.23479333807336658,13,0.05,"0.104651,0.244186,0.395349,0.558140,0.697674,0.827519,0.953488"
130,180,0.7,0.03467545971355792,0.04591622354068399,0.0019558281242696854,0.16966045167711047,0.03287534846674633,0.17664419468817297,10,0.05,"0.107527,0.256272,0.397849,0.548387,0.691756,0.829749,0.956989"
140,180,0.7,0.03474451383953159,0.045063202464345246,0.0018190264026402639,0.16364256805843777,0.03433333333333331,0.13142512689333147,17,0.05,"0.100000,0.250000,0.396667,0.550000,0.683333,0.830000,0.960000"
150,180,0.7,0.033021227683393696,0.04265424499453245,0.0016992426962730049,0.158291761080424,0.03476981654551748,0.154530875820925,12,0.05,"0.093458,0.252336,0.389408,0.551402,0.691589,0.831776,0.953271"
160,180,0.7,0.03156478981420695,0.04082060828198133,0.00159409509875205,0.15332602394951714,0.035640025990903185,0.11752887338990646,12,0.05,"0.087719,0.245614,0.391813,0.548246,0.687135,0.833333,0.956140"
170,180,0.7,0.03091835246622182,0.04023317958320203,0.0015025487350006077,0.14895212915208605,0.03571319253137435,0.08304878471951783,11,0.05,"0.090909,0.239669,0.396694,0.541322,0.694215,0.829201,0.958678"
180,180,0.7,0.02946258757731722,0.038216161595302355,0.0014210545739462208,0.14487942192289566,0.035633680555555554,0.03024255139502015,9,0.05,"0.085938,0.242188,0.395833,0.546875,0.690104,0.830729,0.960938"
190,180,0.7,0.02825703474832382,0.037397009280813485,0.0013501707953414565,0.14120376110076904,0.036234567901234555,-0.010771480585949629,7,0.05,"0.081481,0.250617,0.397531,0.548148,0.691358,0.824691,0.962963"
200,180,0.7,0.027587464299540992,0.03722346022403504,0.0012837390738600816,0.1377357734574212,0.035172143974960865,0.0472237328227554,3,0.05,"0.084507,0.246479,0.380282,0.542254,0.690141,0.827465,0.957746"
