item_id,cefr_true,cefr_hat,error_type,true_p_mid,alpha,beta,p_est,p_error,cefr_conf,cefr_margin,cefr_entropy,d_to_boundary_true,nearest_boundary_true,d_to_boundary_hat,nearest_boundary_hat,acc_weak_test,acc_strong_test,gap_strong_weak_test,flag_entropy,flag_conf,flag_margin,flag_boundary,flag_gap,flag_review,T,n_train,n_test
1,A1,A1,exact,0.9273956048555962,45.0,6.0,0.8823529411764706,-0.04504266367912568,0.7720350200815514,0.544821280883683,0.5418501582373089,0.02260439514440371,0.95,0.032352941176470584,0.85,0.9523809523809523,0.9523809523809523,0.0,0,0,0,0,1,1,70,49,21
2,A2,A2,exact,0.7658317659628078,42.0,9.0,0.8235294117647058,0.05769764580189807,0.6503390242775569,0.31894520500387524,0.7190573357246678,0.06583176596280782,0.7,0.026470588235294135,0.85,0.8571428571428571,0.6666666666666666,-0.19047619047619047,1,0,0,0,1,1,70,49,21
5,C1,B2,adjacent,0.3787896879867074,25.0,26.0,0.49019607843137253,0.1114063904446651,0.7055619935216975,0.5098645305089858,0.8001211534147501,0.021210312013292598,0.4,0.059803921568627516,0.55,0.38095238095238093,0.5238095238095238,0.1428571428571429,1,0,0,0,0,1,70,49,21
6,C2,C2,exact,0.20460520435890459,11.0,40.0,0.21568627450980393,0.011081070150899347,0.7353217300462499,0.4728613523481618,0.5907121976345038,0.045394795641095415,0.25,0.03431372549019607,0.25,0.14285714285714285,0.23809523809523808,0.09523809523809523,0,0,0,0,0,0,70,49,21
8,A1,A2,adjacent,0.8594177347887649,43.0,8.0,0.8431372549019608,-0.016280479886804144,0.5131239608789848,0.03353535967887694,0.7306836645358911,0.009417734788764953,0.85,0.006862745098039191,0.85,0.7619047619047619,0.9047619047619048,0.1428571428571429,1,1,1,1,0,1,70,49,21
10,A2,A2,exact,0.8463433527455133,43.0,8.0,0.8431372549019608,-0.0032060978435525245,0.5131239608789848,0.03353535967887694,0.7306836645358911,0.003656647254486667,0.85,0.006862745098039191,0.85,0.9047619047619048,0.9523809523809523,0.04761904761904756,1,1,1,1,1,1,70,49,21
11,B1,A2,adjacent,0.664170955298553,36.0,15.0,0.7058823529411765,0.04171139764262355,0.5478817128281561,0.11143371369661409,0.7666943829733509,0.03582904470144699,0.7,0.005882352941176561,0.7,0.6666666666666666,0.8095238095238095,0.1428571428571429,1,1,0,0,0,1,70,49,21
12,B1,A2,adjacent,0.667909645791543,36.0,15.0,0.7058823529411765,0.03797270714963352,0.5478817128281561,0.11143371369661409,0.7666943829733509,0.03209035420845696,0.7,0.005882352941176561,0.7,0.6666666666666666,0.5714285714285714,-0.09523809523809523,1,1,0,0,1,1,70,49,21
13,B2,C1,adjacent,0.4192170449013319,18.0,33.0,0.35294117647058826,-0.06627586843074362,0.7080013762575806,0.47336095397896993,0.7580399408466578,0.01921704490133186,0.4,0.047058823529411764,0.4,0.3333333333333333,0.23809523809523808,-0.09523809523809523,1,0,0,0,1,1,70,49,21
14,B2,B2,exact,0.4675578906843351,23.0,28.0,0.45098039215686275,-0.016577498527472367,0.6880564195105652,0.4550896445374719,0.8034468609179267,0.0675578906843351,0.4,0.05098039215686273,0.4,0.23809523809523808,0.6666666666666666,0.42857142857142855,1,0,0,0,0,1,70,49,21
15,C1,C1,exact,0.3056197036348872,17.0,34.0,0.3333333333333333,0.027713629698446096,0.7456049058406317,0.5903831149880165,0.742204494523993,0.05561970363488722,0.25,0.06666666666666671,0.4,0.2857142857142857,0.47619047619047616,0.19047619047619047,1,0,0,0,0,1,70,49,21
16,C1,C1,exact,0.3890147483272903,19.0,32.0,0.37254901960784315,-0.01646572871944718,0.6356536653904198,0.3053371075612672,0.7836678290713814,0.010985251672709695,0.4,0.027450980392156876,0.4,0.3333333333333333,0.3333333333333333,0.0,1,0,0,0,1,1,70,49,21
17,C2,C2,exact,0.1965797680120997,9.0,42.0,0.17647058823529413,-0.02010917977680557,0.902776700496005,0.8057980829115764,0.32064765842165455,0.0534202319879003,0.25,0.07352941176470587,0.25,0.38095238095238093,0.19047619047619047,-0.19047619047619047,0,0,0,0,1,1,70,49,21
18,C2,C2,exact,0.22341424199062448,10.0,41.0,0.19607843137254902,-0.027335810618075468,0.8321985997801739,0.6651735460843478,0.45733187518541346,0.026585758009375515,0.25,0.05392156862745098,0.25,0.3333333333333333,0.2857142857142857,-0.047619047619047616,0,0,0,0,1,1,70,49,21
194998,C2,C2,exact,0.16651212982409969,8.0,43.0,0.1568627450980392,-0.009649384726060473,0.9484472369582205,0.896964192425066,0.20359237669886346,0.06651212982409968,0.1,0.05686274509803921,0.1,0.047619047619047616,0.14285714285714285,0.09523809523809523,0,0,0,0,0,0,70,49,21
194999,C2,C2,exact,0.13408580826771654,10.0,41.0,0.19607843137254902,0.06199262310483247,0.8321985997801739,0.6651735460843478,0.45733187518541346,0.03408580826771654,0.1,0.05392156862745098,0.25,0.047619047619047616,0.0,-0.047619047619047616,0,0,0,0,1,1,70,49,21
195000,B1,A2,adjacent,0.6331877180523752,40.0,11.0,0.7843137254901961,0.1511260074378209,0.8012558120459427,0.6813645865937736,0.633550919362376,0.06681228194762479,0.7,0.06568627450980391,0.85,0.6666666666666666,0.7619047619047619,0.09523809523809523,1,0,0,0,0,1,70,49,21
195001,A2,A2,exact,0.7095725884156262,39.0,12.0,0.7647058823529411,0.05513329393731492,0.7981558361608437,0.6597487375624451,0.6321254013524017,0.009572588415626249,0.7,0.06470588235294117,0.7,0.5238095238095238,0.8095238095238095,0.2857142857142857,1,0,0,1,0,1,70,49,21
195002,A1,A1,exact,0.9327631171992582,47.0,4.0,0.9215686274509803,-0.011194489748277858,0.9394449016094355,0.8789321458354511,0.2288421580583421,0.01723688280074176,0.95,0.028431372549019618,0.95,0.8571428571428571,0.9523809523809523,0.09523809523809523,0,0,0,0,0,0,70,49,21
195003,C1,C1,exact,0.34474965986830974,16.0,35.0,0.3137254901960784,-0.031024169672231316,0.7414279938894223,0.578359366149495,0.7439446867985743,0.05525034013169028,0.4,0.06372549019607843,0.25,0.2857142857142857,0.23809523809523808,-0.047619047619047616,1,0,0,0,1,1,70,49,21
195004,A2,A2,exact,0.8137131610128061,43.0,8.0,0.8431372549019608,0.02942409388915468,0.5131239608789848,0.03353535967887694,0.7306836645358911,0.03628683898719387,0.85,0.006862745098039191,0.85,0.8095238095238095,0.8095238095238095,0.0,1,1,1,0,1,1,70,49,21
195005,A2,A2,exact,0.7531788952194802,38.0,13.0,0.7450980392156863,-0.008080856003793935,0.7470742490486584,0.5259770207266548,0.6680677020054975,0.05317889521948027,0.7,0.045098039215686336,0.7,0.5238095238095238,0.7142857142857143,0.19047619047619047,1,0,0,0,0,1,70,49,21
