T,n_items,n_train,n_test,MAE_p,RMSE_p,Corr_p,CEFR_ExactAcc,CEFR_Within1Acc,MeanConf,MeanEntropy,HighEntropyCount(>H_th),LowGapCount(<gap_th),ReviewCount,H_th,gap_th,gap_rho,gap_max
10,155,7,3,0.11259773904438616,0.1377029718612171,0.8600928368622688,0.38064516129032255,0.9161290322580645,0.4338499932695419,1.257094118936525,155,99,155,0.6,0.050155992760624435,0.67,0.07485969068749915
20,155,14,6,0.0762147119180829,0.0945917716974823,0.9338779561302216,0.567741935483871,0.9741935483870968,0.5308585243500002,1.033531663172324,141,80,152,0.6,0.050155992760624435,0.67,0.07485969068749915
30,155,21,9,0.06991958773236788,0.08436405045549532,0.9480047221533648,0.5225806451612903,0.9806451612903225,0.5845298731576266,0.8965921560729403,133,80,150,0.6,0.050155992760624435,0.67,0.07485969068749915
40,155,28,12,0.05510041592090887,0.06898811951148201,0.9649537996532953,0.632258064516129,0.9935483870967742,0.6387912917687355,0.7964593996814154,122,79,142,0.6,0.050155992760624435,0.67,0.07485969068749915
50,155,35,15,0.05082178794930018,0.0649693659182086,0.9689046209993238,0.6774193548387096,1.0,0.6669595442507013,0.7288541343441897,124,72,143,0.6,0.050155992760624435,0.67,0.07485969068749915
60,155,42,18,0.0488380141848544,0.06102240155570528,0.9724127863155334,0.6516129032258065,1.0,0.70022948622306,0.671477993319509,115,71,145,0.6,0.050155992760624435,0.67,0.07485969068749915
70,155,49,21,0.04488635390116076,0.05682662635068484,0.9760968215805225,0.7096774193548387,1.0,0.7234908367978458,0.6225404586481432,112,87,146,0.6,0.050155992760624435,0.67,0.07485969068749915
80,155,56,24,0.04169025489506118,0.052351181969536954,0.979840191592766,0.7032258064516129,1.0,0.7378595139535087,0.5837711220326747,101,88,143,0.6,0.050155992760624435,0.67,0.07485969068749915
90,155,62,28,0.0405667066557788,0.05060667409999823,0.981215785336679,0.7354838709677419,1.0,0.7506495918491409,0.5557044267549182,95,90,138,0.6,0.050155992760624435,0.67,0.07485969068749915
100,155,70,30,0.03850396498679753,0.04738334892215088,0.9835712330027462,0.7419354838709677,1.0,0.7732857870690728,0.5177158721064018,83,90,128,0.6,0.050155992760624435,0.67,0.07485969068749915
110,155,77,33,0.0356666871141422,0.0443396468978726,0.9856679937498087,0.7870967741935484,1.0,0.7827425677604767,0.4925991824429231,63,81,110,0.6,0.050155992760624435,0.67,0.07485969068749915
120,155,84,36,0.03416209357329798,0.043157240002910706,0.9863767226829189,0.7935483870967742,1.0,0.7928564300748729,0.4776365122665817,53,86,116,0.6,0.050155992760624435,0.67,0.07485969068749915
130,155,91,39,0.03353130855196827,0.042010096814380865,0.9871360670194035,0.8193548387096774,1.0,0.7968466606160386,0.457594098755185,52,75,109,0.6,0.050155992760624435,0.67,0.07485969068749915
140,155,98,42,0.03281887543127983,0.04197773783393105,0.9871405069062283,0.8129032258064516,1.0,0.8084012443618532,0.43722899522779646,49,101,123,0.6,0.050155992760624435,0.67,0.07485969068749915
150,155,105,45,0.03039636936408087,0.03944940532459419,0.988669204652322,0.8387096774193549,1.0,0.8118662357411204,0.426498866264997,43,91,116,0.6,0.050155992760624435,0.67,0.07485969068749915
160,155,112,48,0.029142411938384176,0.03764085228462784,0.9896601983559412,0.8387096774193549,1.0,0.808368815998208,0.42407766596458546,47,87,110,0.6,0.050155992760624435,0.67,0.07485969068749915
170,155,118,52,0.02795955610829693,0.03570869219267579,0.9906826455806379,0.864516129032258,1.0,0.8170357952066256,0.41018202960637834,42,88,109,0.6,0.050155992760624435,0.67,0.07485969068749915
180,155,125,55,0.028209269523801896,0.03601776415329537,0.990610463128249,0.8709677419354839,1.0,0.8246713395767353,0.3941714444325384,38,88,111,0.6,0.050155992760624435,0.67,0.07485969068749915
190,155,133,57,0.02756495690086955,0.03550743729398324,0.9909317081356908,0.8774193548387097,1.0,0.8310456101312594,0.3799159589511356,33,76,105,0.6,0.050155992760624435,0.67,0.07485969068749915
200,155,140,60,0.02765428042045217,0.035106768591613935,0.9911434463785372,0.864516129032258,1.0,0.8375237400300792,0.3678155792723411,33,85,107,0.6,0.050155992760624435,0.67,0.07485969068749915
