item_id,cefr_true,cefr_hat,error_type,true_p_mid,alpha,beta,p_est,p_error,cefr_conf,cefr_margin,cefr_entropy,d_to_boundary_true,nearest_boundary_true,d_to_boundary_hat,nearest_boundary_hat,acc_weak_test,acc_strong_test,gap_strong_weak_test,flag_entropy,flag_conf,flag_margin,flag_boundary,flag_gap,flag_review,T,n_train,n_test
1,A1,A1,exact,0.9273956048555962,104.0,10.0,0.9122807017543859,-0.01511490310121033,0.9799658836986056,0.9599317794113502,0.09817204234328952,0.02260439514440371,0.95,0.03771929824561404,0.95,0.8541666666666666,0.9166666666666666,0.0625,0,0,0,0,0,0,160,112,48
2,A1,A1,exact,0.8938878439752052,103.0,11.0,0.9035087719298246,0.00962092795461944,0.9608454671697654,0.9216909877470228,0.1652486113204136,0.043887843975205176,0.85,0.04649122807017536,0.95,0.9166666666666666,0.9375,0.02083333333333337,0,0,0,0,1,1,160,112,48
3,A1,A1,exact,0.9358597919911382,109.0,5.0,0.956140350877193,0.020280558886054734,0.9997503541415972,0.9995007082854555,0.002320543856986711,0.014140208008861732,0.95,0.0061403508771930015,0.95,0.9375,0.9791666666666666,0.04166666666666663,0,0,0,0,1,1,160,112,48
4,A1,A1,exact,0.9197368029059363,105.0,9.0,0.9210526315789473,0.0013158286730110547,0.9905148031826374,0.9810296088494609,0.05362237387673829,0.030263197094063665,0.95,0.02894736842105261,0.95,0.8333333333333334,0.9375,0.10416666666666663,0,0,0,0,0,0,160,112,48
5,A1,A1,exact,0.8594177347887649,98.0,16.0,0.8596491228070176,0.00023138801825262068,0.6386449474614267,0.27731589304508475,0.6544678696247535,0.009417734788764953,0.85,0.009649122807017574,0.85,0.875,0.8125,-0.0625,1,0,0,1,1,1,160,112,48
6,A1,A1,exact,0.9475622351636755,110.0,4.0,0.9649122807017544,0.01735004553807884,0.9999106606023437,0.999821321205033,0.0009222527960906855,0.0024377648363244075,0.95,0.014912280701754432,0.95,0.9375,0.9791666666666666,0.04166666666666663,0,0,0,1,1,1,160,112,48
7,A1,A1,exact,0.9261139701990353,106.0,8.0,0.9298245614035088,0.003710591204473479,0.9958244075863457,0.9916488156475539,0.02704284963161078,0.02388602980096466,0.95,0.02017543859649118,0.95,0.9166666666666666,0.9583333333333334,0.04166666666666674,0,0,0,0,1,1,160,112,48
8,A1,A1,exact,0.9286064305276953,108.0,6.0,0.9473684210526315,0.018761990524936212,0.9993287252873057,0.9986574505887991,0.0055756056873766426,0.02139356947230464,0.95,0.0026315789473684292,0.95,0.9375,1.0,0.0625,0,0,0,0,0,0,160,112,48
9,A1,A1,exact,0.8628113632675546,97.0,17.0,0.8508771929824561,-0.011934170285098467,0.5349601044847753,0.06999120753155114,0.6913956402642377,0.01281136326755461,0.85,0.0008771929824561431,0.85,0.8125,0.8541666666666666,0.04166666666666663,1,1,1,0,1,1,160,112,48
10,A1,A1,exact,0.8950385937895566,103.0,11.0,0.9035087719298246,0.008470178140267959,0.9608454671697654,0.9216909877470228,0.1652486113204136,0.04503859378955666,0.85,0.04649122807017536,0.95,0.8541666666666666,0.9166666666666666,0.0625,0,0,0,0,0,0,160,112,48
11,A1,A1,exact,0.8870798024232581,102.0,12.0,0.8947368421052632,0.00765703968200504,0.9293056205205071,0.8586114586929137,0.25543437889398046,0.037079802423258146,0.85,0.044736842105263186,0.85,0.8541666666666666,0.9375,0.08333333333333337,0,0,0,0,0,0,160,112,48
12,A1,A1,exact,0.9426764988848602,111.0,3.0,0.9736842105263158,0.03100771164145566,0.999969004904211,0.9999380098084732,0.0003527759440275116,0.007323501115139797,0.95,0.023684210526315863,0.95,0.875,1.0,0.125,0,0,0,1,0,1,160,112,48
13,A1,A1,exact,0.9143865120080664,106.0,8.0,0.9298245614035088,0.015438049395442355,0.9958244075863457,0.9916488156475539,0.02704284963161078,0.035613487991933535,0.95,0.02017543859649118,0.95,0.9375,0.875,-0.0625,0,0,0,0,1,1,160,112,48
14,A1,A1,exact,0.9322761613270829,107.0,7.0,0.9385964912280702,0.006320329900987298,0.9982779856595183,0.9965559714036464,0.012679880341739133,0.017723838672917047,0.95,0.011403508771929749,0.95,0.9375,0.9583333333333334,0.02083333333333337,0,0,0,0,1,1,160,112,48
15,A1,A1,exact,0.8943414198827331,101.0,13.0,0.8859649122807017,-0.008376507602031347,0.8819053510829462,0.7638115155394872,0.36312192492601614,0.0443414198827331,0.85,0.035964912280701755,0.85,0.875,0.9166666666666666,0.04166666666666663,0,0,0,0,1,1,160,112,48
16,A1,A2,adjacent,0.8727238721784777,96.0,18.0,0.8421052631578947,-0.030618609020583,0.569283764914083,0.13874857255783574,0.6851042554232982,0.02272387217847771,0.85,0.007894736842105288,0.85,0.7708333333333334,0.9166666666666666,0.14583333333333326,1,1,0,0,0,1,160,112,48
17,A1,A1,exact,0.9054584787015835,104.0,10.0,0.9122807017543859,0.006822223052802445,0.9799658836986056,0.9599317794113502,0.09817204234328952,0.04454152129841649,0.95,0.03771929824561404,0.95,0.875,0.9166666666666666,0.04166666666666663,0,0,0,0,1,1,160,112,48
18,A1,A2,adjacent,0.8563817256104175,88.0,26.0,0.7719298245614035,-0.08445190104901401,0.9448176280996777,0.905326023793245,0.24644904440178556,0.006381725610417499,0.85,0.07192982456140351,0.7,0.7916666666666666,0.8125,0.02083333333333337,0,0,0,1,1,1,160,112,48
19,A1,A1,exact,0.9327631171992582,105.0,9.0,0.9210526315789473,-0.011710485620310851,0.9905148031826374,0.9810296088494609,0.05362237387673829,0.01723688280074176,0.95,0.02894736842105261,0.95,0.9583333333333334,0.8541666666666666,-0.10416666666666674,0,0,0,0,1,1,160,112,48
20,A1,A1,exact,0.9131664399122065,107.0,7.0,0.9385964912280702,0.025430051315863733,0.9982779856595183,0.9965559714036464,0.012679880341739133,0.03683356008779348,0.95,0.011403508771929749,0.95,0.8333333333333334,0.9583333333333334,0.125,0,0,0,0,0,0,160,112,48
21,A1,A1,exact,0.9258087740085373,106.0,8.0,0.9298245614035088,0.004015787394971437,0.9958244075863457,0.9916488156475539,0.02704284963161078,0.024191225991462617,0.95,0.02017543859649118,0.95,0.9166666666666666,0.875,-0.04166666666666663,0,0,0,0,1,1,160,112,48
22,A1,A1,exact,0.8854525968129868,104.0,10.0,0.9122807017543859,0.02682810494139909,0.9799658836986056,0.9599317794113502,0.09817204234328952,0.03545259681298685,0.85,0.03771929824561404,0.95,0.9791666666666666,0.9375,-0.04166666666666663,0,0,0,0,1,1,160,112,48
23,A1,A1,exact,0.9470698024394902,107.0,7.0,0.9385964912280702,-0.008473311211420032,0.9982779856595183,0.9965559714036464,0.012679880341739133,0.0029301975605097175,0.95,0.011403508771929749,0.95,0.9375,1.0,0.0625,0,0,0,1,0,1,160,112,48
24,A1,A1,exact,0.9393121121322198,103.0,11.0,0.9035087719298246,-0.03580334020239517,0.9608454671697654,0.9216909877470228,0.1652486113204136,0.010687887867780188,0.95,0.04649122807017536,0.95,0.9166666666666666,0.9583333333333334,0.04166666666666674,0,0,0,0,1,1,160,112,48
25,A1,A1,exact,0.9278383497073761,106.0,8.0,0.9298245614035088,0.001986211696132667,0.9958244075863457,0.9916488156475539,0.02704284963161078,0.022161650292623847,0.95,0.02017543859649118,0.95,0.9375,0.9375,0.0,0,0,0,0,1,1,160,112,48
26,A1,A2,adjacent,0.8694638707851967,94.0,20.0,0.8245614035087719,-0.04490246727642477,0.7535146752481608,0.5080009204008968,0.5647892419343585,0.019463870785196735,0.85,0.025438596491228038,0.85,0.9166666666666666,0.8958333333333334,-0.02083333333333326,0,0,0,0,1,1,160,112,48
27,A1,A1,exact,0.8966721003727034,101.0,13.0,0.8859649122807017,-0.010707188092001663,0.8819053510829462,0.7638115155394872,0.36312192492601614,0.04667210037270342,0.85,0.035964912280701755,0.85,0.7708333333333334,0.9166666666666666,0.14583333333333326,0,0,0,0,0,0,160,112,48
28,A1,A2,adjacent,0.8543803765787229,95.0,19.0,0.8333333333333334,-0.02104704324538953,0.6673232827714347,0.3350791392319484,0.6393648869370118,0.004380376578722922,0.85,0.016666666666666607,0.85,0.7916666666666666,0.7708333333333334,-0.02083333333333326,1,0,0,1,1,1,160,112,48
29,A1,A1,exact,0.8654289492067547,99.0,15.0,0.868421052631579,0.002992103424824255,0.7345251143758293,0.4690590838985133,0.5788060660065673,0.01542894920675475,0.85,0.018421052631579005,0.85,0.8541666666666666,0.8333333333333334,-0.02083333333333326,0,0,0,0,1,1,160,112,48
30,A1,A1,exact,0.9183048953242454,101.0,13.0,0.8859649122807017,-0.032339983043543685,0.8819053510829462,0.7638115155394872,0.36312192492601614,0.03169510467575454,0.95,0.035964912280701755,0.85,0.9166666666666666,0.875,-0.04166666666666663,0,0,0,0,1,1,160,112,48
31,A2,A2,exact,0.8117143233861726,87.0,27.0,0.7631578947368421,-0.04855642864933041,0.9297376950918972,0.8679736991847912,0.280240875209187,0.038285676613827424,0.85,0.06315789473684219,0.7,0.6666666666666666,0.8333333333333334,0.16666666666666674,0,0,0,0,0,0,160,112,48
32,A2,A2,exact,0.8451264598651315,94.0,20.0,0.8245614035087719,-0.020565056356359523,0.7535146752481608,0.5080009204008968,0.5647892419343585,0.004873540134868515,0.85,0.025438596491228038,0.85,0.875,0.8125,-0.0625,0,0,0,1,1,1,160,112,48
