item_id,cefr_true,cefr_hat,error_type,true_p_mid,alpha,beta,p_est,p_error,cefr_conf,cefr_margin,cefr_entropy,d_to_boundary_true,nearest_boundary_true,d_to_boundary_hat,nearest_boundary_hat,acc_weak_test,acc_strong_test,gap_strong_weak_test,flag_entropy,flag_conf,flag_margin,flag_boundary,flag_gap,flag_review,T,n_train,n_test
1,A1,A1,exact,0.9273956048555962,32.0,5.0,0.8648648648648649,-0.06253073999073133,0.6331690920245696,0.2736863398067017,0.693359698144158,0.02260439514440371,0.95,0.014864864864864935,0.85,1.0,0.9333333333333333,-0.06666666666666665,1,0,0,0,1,1,50,35,15
2,A1,A1,exact,0.8938878439752052,32.0,5.0,0.8648648648648649,-0.02902297911034024,0.6331690920245696,0.2736863398067017,0.693359698144158,0.043887843975205176,0.85,0.014864864864864935,0.85,0.9333333333333333,0.9333333333333333,0.0,1,0,0,0,1,1,50,35,15
3,A1,A1,exact,0.9358597919911382,35.0,2.0,0.9459459459459459,0.01008615395480772,0.9536677342794722,0.9074308514236773,0.18825638010853155,0.014140208008861732,0.95,0.004054054054054013,0.95,0.9333333333333333,0.9333333333333333,0.0,0,0,0,0,1,1,50,35,15
4,A1,A2,adjacent,0.9197368029059363,31.0,6.0,0.8378378378378378,-0.08189896506809846,0.5234453048315222,0.06863597905340124,0.7809304362330527,0.030263197094063665,0.95,0.012162162162162149,0.85,0.8666666666666667,1.0,0.1333333333333333,1,1,1,0,0,1,50,35,15
5,A1,A1,exact,0.8594177347887649,32.0,5.0,0.8648648648648649,0.005447130076099982,0.6331690920245696,0.2736863398067017,0.693359698144158,0.009417734788764953,0.85,0.014864864864864935,0.85,0.8666666666666667,0.8666666666666667,0.0,1,0,0,1,1,1,50,35,15
6,A1,A1,exact,0.9475622351636755,36.0,1.0,0.972972972972973,0.02541073780929748,0.9817597185479185,0.9635362436875635,0.09124353288909176,0.0024377648363244075,0.95,0.02297297297297307,0.95,0.8666666666666667,1.0,0.1333333333333333,0,0,0,1,0,1,50,35,15
7,A1,A1,exact,0.9261139701990353,32.0,5.0,0.8648648648648649,-0.061249105334170384,0.6331690920245696,0.2736863398067017,0.693359698144158,0.02388602980096466,0.95,0.014864864864864935,0.85,0.8666666666666667,0.9333333333333333,0.06666666666666665,1,0,0,0,0,1,50,35,15
9,A1,A2,adjacent,0.8628113632675546,29.0,8.0,0.7837837837837838,-0.07902757948377082,0.7258767565495714,0.5641434527863953,0.7797816278050044,0.01281136326755461,0.85,0.0662162162162162,0.85,0.8,0.8666666666666667,0.06666666666666665,1,0,0,0,0,1,50,35,15
10,A1,A2,adjacent,0.8950385937895566,31.0,6.0,0.8378378378378378,-0.05720075595171881,0.5234453048315222,0.06863597905340124,0.7809304362330527,0.04503859378955666,0.85,0.012162162162162149,0.85,0.6666666666666666,0.9333333333333333,0.2666666666666667,1,1,1,0,0,1,50,35,15
12,A1,A1,exact,0.9426764988848602,35.0,2.0,0.9459459459459459,0.003269447061085784,0.9536677342794722,0.9074308514236773,0.18825638010853155,0.007323501115139797,0.95,0.004054054054054013,0.95,1.0,1.0,0.0,0,0,0,1,1,1,50,35,15
13,A1,A1,exact,0.9143865120080664,33.0,4.0,0.8918918918918919,-0.022494620116174535,0.7874073324315555,0.576868379827791,0.5289611795040453,0.035613487991933535,0.95,0.04189189189189191,0.85,0.9333333333333333,0.9333333333333333,0.0,0,0,0,0,1,1,50,35,15
15,A1,A2,adjacent,0.8943414198827331,30.0,7.0,0.8108108108108109,-0.08353060907192222,0.6575643130658643,0.36879417994020874,0.7933768632232214,0.0443414198827331,0.85,0.03918918918918912,0.85,0.9333333333333333,1.0,0.06666666666666665,1,0,0,0,0,1,50,35,15
16,A1,A1,exact,0.8727238721784777,32.0,5.0,0.8648648648648649,-0.007859007313612776,0.6331690920245696,0.2736863398067017,0.693359698144158,0.02272387217847771,0.85,0.014864864864864935,0.85,0.8,0.8,0.0,1,0,0,0,1,1,50,35,15
17,A1,A1,exact,0.9054584787015835,32.0,5.0,0.8648648648648649,-0.040593613836718556,0.6331690920245696,0.2736863398067017,0.693359698144158,0.04454152129841649,0.95,0.014864864864864935,0.85,1.0,0.9333333333333333,-0.06666666666666665,1,0,0,0,1,1,50,35,15
18,A1,A2,adjacent,0.8563817256104175,28.0,9.0,0.7567567567567568,-0.09962496885366068,0.716256743031547,0.5165629648398563,0.7849647567347761,0.006381725610417499,0.85,0.05675675675675684,0.7,0.8666666666666667,0.8666666666666667,0.0,1,0,0,1,1,1,50,35,15
20,A1,A1,exact,0.9131664399122065,35.0,2.0,0.9459459459459459,0.03277950603373947,0.9536677342794722,0.9074308514236773,0.18825638010853155,0.03683356008779348,0.95,0.004054054054054013,0.95,1.0,0.8666666666666667,-0.1333333333333333,0,0,0,0,1,1,50,35,15
21,A1,A1,exact,0.9258087740085373,34.0,3.0,0.918918918918919,-0.006889855089618369,0.8939667183706038,0.7884120841733818,0.3412056018528527,0.024191225991462617,0.95,0.031081081081080986,0.95,1.0,0.8,-0.19999999999999996,0,0,0,0,1,1,50,35,15
22,A1,A1,exact,0.8854525968129868,33.0,4.0,0.8918918918918919,0.006439295078905061,0.7874073324315555,0.576868379827791,0.5289611795040453,0.03545259681298685,0.85,0.04189189189189191,0.85,0.9333333333333333,0.9333333333333333,0.0,0,0,0,0,1,1,50,35,15
23,A1,A2,adjacent,0.9470698024394902,31.0,6.0,0.8378378378378378,-0.10923196460165241,0.5234453048315222,0.06863597905340124,0.7809304362330527,0.0029301975605097175,0.95,0.012162162162162149,0.85,1.0,1.0,0.0,1,1,1,1,1,1,50,35,15
24,A1,A2,adjacent,0.9393121121322198,31.0,6.0,0.8378378378378378,-0.10147427429438194,0.5234453048315222,0.06863597905340124,0.7809304362330527,0.010687887867780188,0.95,0.012162162162162149,0.85,0.8666666666666667,0.9333333333333333,0.06666666666666665,1,1,1,0,0,1,50,35,15
25,A1,A1,exact,0.9278383497073761,33.0,4.0,0.8918918918918919,-0.03594645781548422,0.7874073324315555,0.576868379827791,0.5289611795040453,0.022161650292623847,0.95,0.04189189189189191,0.85,1.0,1.0,0.0,0,0,0,0,1,1,50,35,15
26,A1,A2,adjacent,0.8694638707851967,28.0,9.0,0.7567567567567568,-0.11270711402843991,0.716256743031547,0.5165629648398563,0.7849647567347761,0.019463870785196735,0.85,0.05675675675675684,0.7,0.8666666666666667,0.8666666666666667,0.0,1,0,0,0,1,1,50,35,15
27,A1,A1,exact,0.8966721003727034,32.0,5.0,0.8648648648648649,-0.03180723550783848,0.6331690920245696,0.2736863398067017,0.693359698144158,0.04667210037270342,0.85,0.014864864864864935,0.85,0.8,0.8666666666666667,0.06666666666666665,1,0,0,0,0,1,50,35,15
28,A1,A1,exact,0.8543803765787229,32.0,5.0,0.8648648648648649,0.010484488286142013,0.6331690920245696,0.2736863398067017,0.693359698144158,0.004380376578722922,0.85,0.014864864864864935,0.85,0.6666666666666666,0.9333333333333333,0.2666666666666667,1,0,0,1,0,1,50,35,15
