item_id,cefr_true,cefr_hat,error_type,true_p_mid,alpha,beta,k_train,n_train,p_est,p_error,ci95_low,ci95_high,ci95_width,acc_test_mid,brier_test_mid,logloss_test_mid,cefr_conf,cefr_margin,cefr_entropy,d_to_boundary_true,nearest_boundary_true,d_to_boundary_hat,nearest_boundary_hat,acc_weak_test,acc_strong_test,gap_strong_weak_test,flag_entropy,flag_conf,flag_margin,flag_boundary,flag_gap,flag_review,T,n_test
1,A1,A1,exact,0.9273956048555962,98.0,9.0,97,105,0.9158878504672897,-0.011507754388306535,0.8566988670458953,0.9604387595874767,0.10373989254158145,0.8666666666666667,0.11797828049029029,0.40622707596924773,0.9824046927161859,0.9648094028892902,0.08852705917098669,0.02260439514440371,0.95,0.034112149532710245,0.95,0.8888888888888888,0.8666666666666667,-0.022222222222222143,0,0,0,0,1,1,150,45
2,A1,A1,exact,0.8938878439752052,97.0,10.0,96,105,0.9065420560747663,0.01265421209956119,0.8449350264681783,0.9538275368773232,0.10889251040914494,0.8,0.17135120971263862,0.5525430330603908,0.9644885598550957,0.9289771998407852,0.153408081339968,0.043887843975205176,0.85,0.04345794392523361,0.95,0.9111111111111111,0.9111111111111111,0.0,0,0,0,0,1,1,150,45
3,A1,A1,exact,0.9358597919911382,102.0,5.0,101,105,0.9532710280373832,0.01741123604624495,0.9061943612308394,0.9845089596051917,0.07831459837435228,0.9777777777777777,0.02232897584456672,0.11486790786319444,0.9994784484864409,0.9989568969910987,0.004463668632809786,0.014140208008861732,0.95,0.003271028037383217,0.95,0.9555555555555556,0.9333333333333333,-0.022222222222222254,0,0,0,0,1,1,150,45
5,A1,A1,exact,0.8594177347887649,94.0,13.0,93,105,0.8785046728971962,0.019086938108431317,0.8105977521801339,0.9330541122468071,0.12245636006667326,0.8444444444444444,0.13251812385361167,0.4372766738287752,0.8210401707262971,0.6420848462037178,0.4698647649733136,0.009417734788764953,0.85,0.02850467289719627,0.85,0.8666666666666667,0.8444444444444444,-0.022222222222222254,0,0,0,1,1,1,150,45
6,A1,A1,exact,0.9475622351636755,104.0,3.0,103,105,0.9719626168224299,0.024400381658754355,0.9335018002057512,0.9941250045113095,0.06062320430555823,0.9555555555555556,0.04273832746188411,0.18602809578601193,0.9999334770757753,0.9998669541519754,0.0007063359086396324,0.0024377648363244075,0.95,0.021962616822429948,0.95,0.9555555555555556,0.9777777777777777,0.022222222222222143,0,0,0,1,1,1,150,45
9,A1,A1,exact,0.8628113632675546,91.0,16.0,90,105,0.8504672897196262,-0.012344073547928436,0.777362781133258,0.911190398408555,0.13382761727529702,0.9333333333333333,0.06908900340641103,0.2778540468968608,0.5306428626066764,0.06140312903126255,0.6923591110780717,0.01281136326755461,0.85,0.00046728971962617383,0.85,0.8222222222222222,0.8222222222222222,0.0,1,1,1,0,1,1,150,45
10,A1,A1,exact,0.8950385937895566,97.0,10.0,96,105,0.9065420560747663,0.011503462285209709,0.8449350264681783,0.9538275368773232,0.10889251040914494,0.8666666666666667,0.11714560223600311,0.401067974026435,0.9644885598550957,0.9289771998407852,0.153408081339968,0.04503859378955666,0.85,0.04345794392523361,0.95,0.8444444444444444,0.8666666666666667,0.022222222222222254,0,0,0,0,1,1,150,45
12,A1,A1,exact,0.9426764988848602,104.0,3.0,103,105,0.9719626168224299,0.029286117937569744,0.9335018002057512,0.9941250045113095,0.06062320430555823,0.9333333333333333,0.06371444376510321,0.2648231760187511,0.9999334770757753,0.9998669541519754,0.0007063359086396324,0.007323501115139797,0.95,0.021962616822429948,0.95,0.9111111111111111,1.0,0.0888888888888889,0,0,0,1,0,1,150,45
13,A1,A1,exact,0.9143865120080664,99.0,8.0,98,105,0.9252336448598131,0.010847132851746655,0.8686624904652085,0.9668541894615922,0.09819169899638369,0.9555555555555556,0.04338855407070971,0.18951690914752753,0.9919421463538258,0.9838842961987404,0.04687313943946473,0.035613487991933535,0.95,0.02476635514018688,0.95,0.9333333333333333,0.8888888888888888,-0.04444444444444451,0,0,0,0,1,1,150,45
14,A1,A1,exact,0.9322761613270829,101.0,6.0,100,105,0.9439252336448598,0.011649072317776898,0.8933485490941999,0.9789466334687663,0.0855980843745664,0.9555555555555556,0.04260440019021555,0.18319103084790025,0.9986258248410677,0.9972516497937632,0.010428911662784172,0.017723838672917047,0.95,0.006074766355140149,0.95,0.9111111111111111,0.9555555555555556,0.04444444444444451,0,0,0,0,1,1,150,45
16,A1,A2,adjacent,0.8727238721784777,90.0,17.0,89,105,0.8411214953271028,-0.0316023768513749,0.7664803057389696,0.9037081909094771,0.13722788517050744,0.8444444444444444,0.13136906668219445,0.4322674815520488,0.5766555909838401,0.153610343415005,0.6838180056167186,0.02272387217847771,0.85,0.008878504672897192,0.85,0.7555555555555555,0.8888888888888888,0.1333333333333333,1,1,0,0,0,1,150,45
17,A1,A1,exact,0.9054584787015835,97.0,10.0,96,105,0.9065420560747663,0.0010835773731828757,0.8449350264681783,0.9538275368773232,0.10889251040914494,0.9333333333333333,0.06293999475936764,0.24959291499247924,0.9644885598550957,0.9289771998407852,0.153408081339968,0.04454152129841649,0.95,0.04345794392523361,0.95,0.9111111111111111,0.9333333333333333,0.022222222222222254,0,0,0,0,1,1,150,45
18,A1,A2,adjacent,0.8563817256104175,82.0,25.0,81,105,0.7663551401869159,-0.09002658542350161,0.6820994458763847,0.8411857927616122,0.1590863468852275,0.9333333333333333,0.09010393920866454,0.3452991486907232,0.9288832351967667,0.8707440381188817,0.29032293823574845,0.006381725610417499,0.85,0.0663551401869159,0.7,0.8,0.7777777777777778,-0.022222222222222254,0,0,0,1,1,1,150,45
19,A1,A1,exact,0.9327631171992582,98.0,9.0,97,105,0.9158878504672897,-0.016875266731968486,0.8566988670458953,0.9604387595874767,0.10373989254158145,0.9777777777777777,0.025558758164225898,0.14092230915431989,0.9824046927161859,0.9648094028892902,0.08852705917098669,0.01723688280074176,0.95,0.034112149532710245,0.95,0.9777777777777777,0.8444444444444444,-0.1333333333333333,0,0,0,0,1,1,150,45
21,A1,A1,exact,0.9258087740085373,99.0,8.0,98,105,0.9252336448598131,-0.0005751291487242627,0.8686624904652085,0.9668541894615922,0.09819169899638369,0.9555555555555556,0.04338855407070971,0.18951690914752753,0.9919421463538258,0.9838842961987404,0.04687313943946473,0.024191225991462617,0.95,0.02476635514018688,0.95,0.9111111111111111,0.8666666666666667,-0.0444444444444444,0,0,0,0,1,1,150,45
