T,n_items,n_train,n_test,MAE_p,RMSE_p,Corr_p,CEFR_ExactAcc,CEFR_Within1Acc,MeanConf,MeanEntropy,HighEntropyCount(>H_th),LowGapCount(<gap_th),ReviewCount,H_th,gap_th,gap_rho,gap_max
10,180,7,3,0.10996580644800334,0.13852792055018076,0.8426912486966063,0.45555555555555555,0.8555555555555555,0.4352655135512116,1.2553742609692404,180,115,180,0.6,0.050155992760624435,0.67,0.07485969068749915
20,180,14,6,0.07805409346709966,0.09725054515588996,0.9260257928013337,0.5777777777777777,0.95,0.5313041626310253,1.0346517211756088,159,102,174,0.6,0.050155992760624435,0.67,0.07485969068749915
30,180,21,9,0.06995534577208863,0.08962672856248874,0.938106432980137,0.5777777777777777,0.9722222222222222,0.5923972924399459,0.901932697037012,146,94,170,0.6,0.050155992760624435,0.67,0.07485969068749915
40,180,28,12,0.06159720121735709,0.07842562612953033,0.9524306299447007,0.6111111111111112,0.9777777777777777,0.6278000128263733,0.8133520973211472,146,86,166,0.6,0.050155992760624435,0.67,0.07485969068749915
50,180,35,15,0.057154746732936086,0.07182956661606597,0.9608791830033682,0.6833333333333333,0.9944444444444445,0.6611853717285819,0.7343299935502908,142,80,166,0.6,0.050155992760624435,0.67,0.07485969068749915
60,180,42,18,0.05421846483686353,0.0687565965964277,0.9640192318529085,0.6777777777777778,1.0,0.6831209121476471,0.6840287993229222,137,83,163,0.6,0.050155992760624435,0.67,0.07485969068749915
70,180,49,21,0.048739676350178986,0.06252342808072466,0.9701149448631783,0.7388888888888889,1.0,0.7073276881225744,0.6423529794841937,135,95,165,0.6,0.050155992760624435,0.67,0.07485969068749915
80,180,56,24,0.043390833605648556,0.05489494087369579,0.9769923161825901,0.7444444444444445,1.0,0.7224135349417957,0.6056186178678628,121,98,165,0.6,0.050155992760624435,0.67,0.07485969068749915
90,180,62,28,0.04026600162320597,0.051441019065450774,0.9801031168221058,0.7555555555555555,1.0,0.7459644272772276,0.5695035164852734,112,104,162,0.6,0.050155992760624435,0.67,0.07485969068749915
100,180,70,30,0.03819619026208572,0.048701786352957514,0.9819602143094275,0.7555555555555555,1.0,0.7627767981484793,0.537024333133338,108,104,163,0.6,0.050155992760624435,0.67,0.07485969068749915
110,180,77,33,0.03623553797296325,0.04642887878081212,0.9834261953034403,0.7611111111111111,1.0,0.7667125479947852,0.5162953537035572,89,106,152,0.6,0.050155992760624435,0.67,0.07485969068749915
120,180,84,36,0.03602678543936469,0.04506329833250306,0.9844127214292383,0.7444444444444445,1.0,0.7810806479743457,0.4919992482587157,64,103,139,0.6,0.050155992760624435,0.67,0.07485969068749915
130,180,91,39,0.0352948088589362,0.04411836982247196,0.9851601609620739,0.7611111111111111,1.0,0.7917037889999863,0.46787522157039596,62,92,133,0.6,0.050155992760624435,0.67,0.07485969068749915
140,180,98,42,0.03453971055693907,0.043424496206061265,0.9855515628277666,0.7611111111111111,1.0,0.802573105644885,0.44932867869557497,57,112,140,0.6,0.050155992760624435,0.67,0.07485969068749915
150,180,105,45,0.03226442885927945,0.04159945850831066,0.9868227669945712,0.8055555555555556,1.0,0.8108623499313643,0.4315146600630721,52,107,134,0.6,0.050155992760624435,0.67,0.07485969068749915
160,180,112,48,0.031496186441526824,0.04007628905724743,0.9877693863242724,0.8222222222222222,1.0,0.8229126454532771,0.41179915485102847,43,99,122,0.6,0.050155992760624435,0.67,0.07485969068749915
170,180,118,52,0.03043745219157462,0.03896414775506226,0.9884548744466836,0.8388888888888889,1.0,0.830175578990931,0.39841822121704823,42,96,122,0.6,0.050155992760624435,0.67,0.07485969068749915
180,180,125,55,0.030440253087747424,0.03834257736998249,0.9888000221662079,0.8277777777777777,1.0,0.8343995335164067,0.38764983496110816,39,98,123,0.6,0.050155992760624435,0.67,0.07485969068749915
190,180,133,57,0.02932234884932151,0.03673670661861177,0.989651941536525,0.85,1.0,0.8340910388948087,0.382181765958586,43,91,118,0.6,0.050155992760624435,0.67,0.07485969068749915
200,180,140,60,0.028881428943741207,0.03624492071857966,0.9899382363994164,0.85,1.0,0.8398296812111318,0.3723214575375613,37,104,125,0.6,0.050155992760624435,0.67,0.07485969068749915
